c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_AgMNN	BE_AgMNN	CPS_AgMNN
326.01	1160.6	3841.61
326.11	1160.5	3861.46
326.21	1160.4	3848.11
326.31	1160.3	3890.54
326.41	1160.2	3904.79
326.51	1160.1	3843.43
326.61	1160	3816.07
326.71	1159.9	3925.46
326.81	1159.8	3885.71
326.91	1159.7	3938.96
327.01	1159.6	3914.32
327.11	1159.5	3873.11
327.21	1159.4	3908.39
327.31	1159.3	3833.93
327.41	1159.2	3898.32
327.51	1159.1	3890.36
327.61	1159	3938.79
327.71	1158.9	3882
327.81	1158.8	3931.57
327.91	1158.7	3899.68
328.01	1158.6	3878.11
328.11	1158.5	3957.32
328.21	1158.4	3931.5
328.31	1158.3	3905.79
328.41	1158.2	3956.14
328.51	1158.1	3912.46
328.61	1158	3955.11
328.71	1157.9	3905.32
328.81	1157.8	3919.96
328.91	1157.7	3938.82
329.01	1157.6	3925.71
329.11	1157.5	3854.32
329.21	1157.4	3891.36
329.31	1157.3	3933.68
329.41	1157.2	3896.68
329.51	1157.1	3934.04
329.61	1157	3932.68
329.71	1156.9	3926.43
329.81	1156.8	3909.71
329.91	1156.7	3927.18
330.01	1156.6	3947.61
330.11	1156.5	3933.61
330.21	1156.4	3962.07
330.31	1156.3	4040.21
330.41	1156.2	4022.21
330.51	1156.1	4049.25
330.61	1156	4023.54
330.71	1155.9	4014.86
330.81	1155.8	4121.43
330.91	1155.7	4008.43
331.01	1155.6	3945.18
331.11	1155.5	3956.61
331.21	1155.4	3921
331.31	1155.3	3959.57
331.41	1155.2	3979.25
331.51	1155.1	3958.29
331.61	1155	3934.18
331.71	1154.9	3914.46
331.81	1154.8	3952.75
331.91	1154.7	3941.25
332.01	1154.6	3936.21
332.11	1154.5	3907.93
332.21	1154.4	3806.14
332.31	1154.3	3875.64
332.41	1154.2	3847.29
332.51	1154.1	3916.32
332.61	1154	3899.18
332.71	1153.9	3853.54
332.81	1153.8	3876.89
332.91	1153.7	3857.93
333.01	1153.6	3828.71
333.11	1153.5	3860.18
333.21	1153.4	3838.18
333.31	1153.3	3763.75
333.41	1153.2	3846.75
333.51	1153.1	3860.89
333.61	1153	3811.29
333.71	1152.9	3731.79
333.81	1152.8	3740.25
333.91	1152.7	3777.5
334.01	1152.6	3777.64
334.11	1152.5	3806.93
334.21	1152.4	3801.04
334.31	1152.3	3803.64
334.41	1152.2	3722.71
334.51	1152.1	3782.14
334.61	1152	3720.64
334.71	1151.9	3756.61
334.81	1151.8	3757.46
334.91	1151.7	3783.82
335.01	1151.6	3790.75
335.11	1151.5	3807.18
335.21	1151.4	3725.18
335.31	1151.3	3688.29
335.41	1151.2	3709.82
335.51	1151.1	3730.57
335.61	1151	3735.57
335.71	1150.9	3742.96
335.81	1150.8	3752.57
335.91	1150.7	3726.25
336.01	1150.6	3762.86
336.11	1150.5	3778.21
336.21	1150.4	3780.43
336.31	1150.3	3823.25
336.41	1150.2	3782.32
336.51	1150.1	3800.07
336.61	1150	3798.82
336.71	1149.9	3770.14
336.81	1149.8	3725.21
336.91	1149.7	3736.86
337.01	1149.6	3728.61
337.11	1149.5	3739.36
337.21	1149.4	3693.14
337.31	1149.3	3681.11
337.41	1149.2	3730.14
337.51	1149.1	3726.39
337.61	1149	3643.57
337.71	1148.9	3734.89
337.81	1148.8	3687.36
337.91	1148.7	3641.25
338.01	1148.6	3611.79
338.11	1148.5	3605.14
338.21	1148.4	3637.57
338.31	1148.3	3629.68
338.41	1148.2	3627.5
338.51	1148.1	3650.11
338.61	1148	3659.11
338.71	1147.9	3609.04
338.81	1147.8	3609.07
338.91	1147.7	3570.3
339.01	1147.6	3641.25
339.11	1147.5	3568.47
339.21	1147.4	3553.89
339.31	1147.3	3578.21
339.41	1147.2	3577.46
339.51	1147.1	3577.86
339.61	1147	3583.54
339.71	1146.9	3528.17
339.81	1146.8	3529.47
339.91	1146.7	3569.24
340.01	1146.6	3539.88
340.11	1146.5	3579.43
340.21	1146.4	3610.07
340.31	1146.3	3554.16
340.41	1146.2	3595.82
340.51	1146.1	3582.57
340.61	1146	3536.64
340.71	1145.9	3523.35
340.81	1145.8	3564.3
340.91	1145.7	3537.2
341.01	1145.6	3624.5
341.11	1145.5	3598.75
341.21	1145.4	3542.69
341.31	1145.3	3561.52
341.41	1145.2	3537
341.51	1145.1	3577.21
341.61	1145	3579.14
341.71	1144.9	3585.36
341.81	1144.8	3621.36
341.91	1144.7	3572.46
342.01	1144.6	3519.2
342.11	1144.5	3585.71
342.21	1144.4	3604.39
342.31	1144.3	3576.75
342.41	1144.2	3621.04
342.51	1144.1	3557.2
342.61	1144	3558.3
342.71	1143.9	3576.32
342.81	1143.8	3598.14
342.91	1143.7	3590.86
343.01	1143.6	3601.18
343.11	1143.5	3593.5
343.21	1143.4	3621.14
343.31	1143.3	3662.75
343.41	1143.2	3640.21
343.51	1143.1	3632.14
343.61	1143	3624.86
343.71	1142.9	3591.46
343.81	1142.8	3640.21
343.91	1142.7	3626.07
344.01	1142.6	3630.79
344.11	1142.5	3610.32
344.21	1142.4	3594.82
344.31	1142.3	3684
344.41	1142.2	3710.96
344.51	1142.1	3693.07
344.61	1142	3688.25
344.71	1141.9	3706.93
344.81	1141.8	3665.89
344.91	1141.7	3728.46
345.01	1141.6	3698.11
345.11	1141.5	3717.11
345.21	1141.4	3721.11
345.31	1141.3	3723.5
345.41	1141.2	3745.29
345.51	1141.1	3741.54
345.61	1141	3740.04
345.71	1140.9	3762.86
345.81	1140.8	3734.29
345.91	1140.7	3747.54
346.01	1140.6	3756.21
346.11	1140.5	3748.46
346.21	1140.4	3798.43
346.31	1140.3	3759.32
346.41	1140.2	3749.71
346.51	1140.1	3833.64
346.61	1140	3857.21
346.71	1139.9	3845.29
346.81	1139.8	3824.39
346.91	1139.7	3895.32
347.01	1139.6	3880.36
347.11	1139.5	3850.43
347.21	1139.4	3935.18
347.31	1139.3	3946.21
347.41	1139.2	3952.04
347.51	1139.1	3932.32
347.61	1139	3979.75
347.71	1138.9	3954.54
347.81	1138.8	4012.79
347.91	1138.7	4028.36
348.01	1138.6	4081.64
348.11	1138.5	4129.61
348.21	1138.4	4215.71
348.31	1138.3	4211.04
348.41	1138.2	4311.71
348.51	1138.1	4256.36
348.61	1138	4334.32
348.71	1137.9	4295.39
348.81	1137.8	4313.64
348.91	1137.7	4345.96
349.01	1137.6	4298.46
349.11	1137.5	4294.14
349.21	1137.4	4249.04
349.31	1137.3	4273.18
349.41	1137.2	4295.07
349.51	1137.1	4267.21
349.61	1137	4240.64
349.71	1136.9	4282.43
349.81	1136.8	4313.93
349.91	1136.7	4385.68
350.01	1136.6	4412.54
350.11	1136.5	4398.11
350.21	1136.4	4406.46
350.31	1136.3	4458.61
350.41	1136.2	4475
350.51	1136.1	4461.82
350.61	1136	4499.21
350.71	1135.9	4560.29
350.81	1135.8	4727.32
350.91	1135.7	4867.82
351.01	1135.6	4955
351.11	1135.5	5200.21
351.21	1135.4	5341
351.31	1135.3	5589.79
351.41	1135.2	5951.46
351.51	1135.1	6128.96
351.61	1135	6279.54
351.71	1134.9	6373.75
351.81	1134.8	6405.39
351.91	1134.7	6315.04
352.01	1134.6	6140.21
352.11	1134.5	6088.54
352.21	1134.4	5988.36
352.31	1134.3	5903.04
352.41	1134.2	5856.64
352.51	1134.1	5792.18
352.61	1134	5684.5
352.71	1133.9	5714.89
352.81	1133.8	5691.71
352.91	1133.7	5610.43
353.01	1133.6	5581.86
353.11	1133.5	5529.96
353.21	1133.4	5594.11
353.31	1133.3	5542.93
353.41	1133.2	5510.75
353.51	1133.1	5315.14
353.61	1133	5380.96
353.71	1132.9	5333.43
353.81	1132.8	5188.75
353.91	1132.7	5104.32
354.01	1132.6	4981.11
354.11	1132.5	4844.71
354.21	1132.4	4813.14
354.31	1132.3	4758.57
354.41	1132.2	4729.36
354.51	1132.1	4698.86
354.61	1132	4604.64
354.71	1131.9	4616.86
354.81	1131.8	4577.75
354.91	1131.7	4397.96
355.01	1131.6	4377.5
355.11	1131.5	4386.11
355.21	1131.4	4351.21
355.31	1131.3	4293.11
355.41	1131.2	4270.32
355.51	1131.1	4161.29
355.61	1131	4212.64
355.71	1130.9	4231.46
355.81	1130.8	4231
355.91	1130.7	4268.46
356.01	1130.6	4144.39
356.11	1130.5	4131.96
356.21	1130.4	4189.43
356.31	1130.3	4189.64
356.41	1130.2	4209.93
356.51	1130.1	4178.79
356.61	1130	4226.5
356.71	1129.9	4248.61
356.81	1129.8	4322.75
356.91	1129.7	4398.64
357.01	1129.6	4437
357.11	1129.5	4597.61
357.21	1129.4	4779.71
357.31	1129.3	4987.86
357.41	1129.2	5187.89
357.51	1129.1	5405.07
357.61	1129	5574.75
357.71	1128.9	5667.93
357.81	1128.8	5682.82
357.91	1128.7	5653.36
358.01	1128.6	5577.75
358.11	1128.5	5371.89
358.21	1128.4	5126.21
358.31	1128.3	4905.36
358.41	1128.2	4682.86
358.51	1128.1	4560.82
358.61	1128	4433.71
358.71	1127.9	4254.29
358.81	1127.8	4240.07
358.91	1127.7	4133.39
359.01	1127.6	4129.07
359.11	1127.5	4110.25
359.21	1127.4	4040.82
359.31	1127.3	3930
359.41	1127.2	3879.04
359.51	1127.1	3791.54
359.61	1127	3738.61
359.71	1126.9	3605.57
359.81	1126.8	3510.55
359.91	1126.7	3425.06
360.01	1126.6	3390.17
360.11	1126.5	3358.35
360.21	1126.4	3285.39
360.31	1126.3	3285.55
360.41	1126.2	3227.5
360.51	1126.1	3202.5
360.61	1126	3186.77
360.71	1125.9	3161.25
360.81	1125.8	3109.21
360.91	1125.7	3125.74
361.01	1125.6	3131.66
361.11	1125.5	3111.73
361.21	1125.4	3151.54
361.31	1125.3	3149.94
361.41	1125.2	3165
361.51	1125.1	3080.18
361.61	1125	3090.9
361.71	1124.9	3137
361.81	1124.8	3068.6
361.91	1124.7	3058.07
362.01	1124.6	3105.4
362.11	1124.5	3067.4
362.21	1124.4	3083.36
362.31	1124.3	3110.61
362.41	1124.2	3085.67
362.51	1124.1	3056.11
362.61	1124	3033.48
362.71	1123.9	3052.94
362.81	1123.8	3010.34
362.91	1123.7	3054.11
363.01	1123.6	3014.84
363.11	1123.5	2988.21
363.21	1123.4	2993.94
363.31	1123.3	2934.1
363.41	1123.2	2999.02
363.51	1123.1	3006.34
363.61	1123	3014.46
363.71	1122.9	2982.39
363.81	1122.8	2953.46
363.91	1122.7	2948.78
364.01	1122.6	2938.63
364.11	1122.5	2938.33
364.21	1122.4	2934.31
364.31	1122.3	2915.27
