c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he arm22.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
766.81	719.8	4689.59
766.91	719.7	4684.58
767.01	719.6	4703.17
767.11	719.5	4794.21
767.21	719.4	4660.41
767.31	719.3	4707.3
767.41	719.2	4746.63
767.51	719.1	4668.43
767.61	719	4705.76
767.71	718.9	4736.97
767.81	718.8	4752.94
767.91	718.7	4694.68
768.01	718.6	4711.04
768.11	718.5	4764.12
768.21	718.4	4644.79
768.31	718.3	4746.08
768.41	718.2	4753.22
768.51	718.1	4685.56
768.61	718	4562.62
768.71	717.9	4622.87
768.81	717.8	4653.81
768.91	717.7	4511.83
769.01	717.6	4600.01
769.11	717.5	4491.73
769.21	717.4	4538.62
769.31	717.3	4517.33
769.41	717.2	4440.37
769.51	717.1	4541.37
769.61	717	4470.68
769.71	716.9	4393.46
769.81	716.8	4344.58
769.91	716.7	4319.04
770.01	716.6	4443.29
770.11	716.5	4240.32
770.21	716.4	4283.73
770.31	716.3	4402.73
770.41	716.2	4387.41
770.51	716.1	4298.01
770.61	716	4322.32
770.71	715.9	4346.4
770.81	715.8	4197.12
770.91	715.7	4335.84
771.01	715.6	4192.92
771.11	715.5	3974.25
771.21	715.4	4161.63
771.31	715.3	4113.22
771.41	715.2	4106.66
771.51	715.1	4235.28
771.61	715	4239.85
771.71	714.9	4036.39
771.81	714.8	3854.85
771.91	714.7	3894.64
772.01	714.6	4041.28
772.11	714.5	3914.32
772.21	714.4	3855.63
772.31	714.3	3859.1
772.41	714.2	3936.99
772.51	714.1	3758.65
772.61	714	3731.36
772.71	713.9	3736.62
772.81	713.8	3831.08
772.91	713.7	3717.31
773.01	713.6	3613.65
773.11	713.5	3629.55
773.21	713.4	3689.1
773.31	713.3	3753.88
773.41	713.2	3761.68
773.51	713.1	3723.48
773.61	713	3627.95
773.71	712.9	3588.55
773.81	712.8	3617.2
773.91	712.7	3554.03
774.01	712.6	3674.6
774.11	712.5	3670.82
774.21	712.4	3408.45
774.31	712.3	3472.49
774.41	712.2	3542.07
774.51	712.1	3525.91
774.61	712	3432.91
774.71	711.9	3415.76
774.81	711.8	3563.75
774.91	711.7	3527.24
775.01	711.6	3560.02
775.11	711.5	3430.39
775.21	711.4	3409.71
775.31	711.3	3475.54
775.41	711.2	3435.77
775.51	711.1	3422.36
775.61	711	3285.68
775.71	710.9	3330.58
775.81	710.8	3325.36
775.91	710.7	3302.23
776.01	710.6	3301.68
776.11	710.5	3527.36
776.21	710.4	3503.44
776.31	710.3	3479.46
776.41	710.2	3407.41
776.51	710.1	3393.16
776.61	710	3269.07
776.71	709.9	3371.32
776.81	709.8	3391.05
776.91	709.7	3360.59
777.01	709.6	3417.73
777.11	709.5	3345.2
777.21	709.4	3475.97
777.31	709.3	3240.67
777.41	709.2	3195.34
777.51	709.1	3364.38
777.61	709	3222.52
777.71	708.9	3288.96
777.81	708.8	3351.66
777.91	708.7	3265.69
778.01	708.6	3272.76
778.11	708.5	3229.77
778.21	708.4	3276.26
778.31	708.3	3166.44
778.41	708.2	3330.17
778.51	708.1	3394.32
778.61	708	3374.4
778.71	707.9	3367.3
778.81	707.8	3127.54
778.91	707.7	3158.9
779.01	707.6	3155.67
779.11	707.5	3315.72
779.21	707.4	3184.71
779.31	707.3	3286.45
779.41	707.2	3269.79
779.51	707.1	3226.93
779.61	707	3170.08
779.71	706.9	3261.27
779.81	706.8	3129.8
779.91	706.7	3172.22
780.01	706.6	3171.39
780.11	706.5	3203.68
780.21	706.4	3203.17
780.31	706.3	3061.3
780.41	706.2	3092.38
780.51	706.1	3209.78
780.61	706	3255.03
780.71	705.9	3143.48
780.81	705.8	3178.25
780.91	705.7	3203.83
781.01	705.6	3138.32
781.11	705.5	3205.62
781.21	705.4	3238.59
781.31	705.3	3220.73
781.41	705.2	3082.12
781.51	705.1	3046.65
781.61	705	3180.68
781.71	704.9	3109.77
781.81	704.8	3113.24
781.91	704.7	3137.25
782.01	704.6	3220.49
782.11	704.5	3224.45
782.21	704.4	3192.61
782.31	704.3	3140.73
782.41	704.2	3048.39
782.51	704.1	3081.59
782.61	704	3188.77
782.71	703.9	3142.25
782.81	703.8	3038.91
782.91	703.7	3221.06
783.01	703.6	3057.25
783.11	703.5	3090.53
783.21	703.4	3236.73
783.31	703.3	3263.11
783.41	703.2	3193.89
783.51	703.1	3196.54
783.61	703	3186.35
783.71	702.9	3141.19
783.81	702.8	3116.19
783.91	702.7	3032.64
784.01	702.6	3052.62
784.11	702.5	3191.09
784.21	702.4	3213.59
784.31	702.3	3126.4
784.41	702.2	3208.38
784.51	702.1	3191.41
784.61	702	3242.16
784.71	701.9	3268.35
784.81	701.8	3170.27
784.91	701.7	3243.45
785.01	701.6	3035.63
785.11	701.5	3079.83
785.21	701.4	3033.68
785.31	701.3	3093.17
785.41	701.2	3058.5
785.51	701.1	3153.48
785.61	701	3030.03
785.71	700.9	3080.86
785.81	700.8	3078.72
785.91	700.7	3201.68
786.01	700.6	3204.09
786.11	700.5	3152.42
786.21	700.4	3160.12
786.31	700.3	3171.74
786.41	700.2	3097.01
786.51	700.1	2971.84
786.61	700	3141.06
786.71	699.9	3203.53
786.81	699.8	3116.27
786.91	699.7	2953.8
787.01	699.6	3161.58
787.11	699.5	3177.7
787.21	699.4	3052.98
787.31	699.3	3085.23
787.41	699.2	3098.33
787.51	699.1	3081.51
787.61	699	3069.58
787.71	698.9	3060.71
787.81	698.8	3090.4
787.91	698.7	2996.03
788.01	698.6	3080.23
788.11	698.5	3099.09
788.21	698.4	3039.73
788.31	698.3	3004.67
788.41	698.2	3141.07
788.51	698.1	3178.5
788.61	698	3182.42
788.71	697.9	3246.79
788.81	697.8	2978.77
788.91	697.7	3066.05
789.01	697.6	3160.05
789.11	697.5	3128.05
789.21	697.4	2889.85
789.31	697.3	3084
789.41	697.2	3162.89
789.51	697.1	3045.51
789.61	697	3046.21
789.71	696.9	3199.53
789.81	696.8	3058.62
789.91	696.7	3035.12
790.01	696.6	3039.44
790.11	696.5	3027.28
790.21	696.4	2966.57
790.31	696.3	3143.11
790.41	696.2	3165.96
790.51	696.1	3230.67
790.61	696	3110.45
790.71	695.9	3094.62
790.81	695.8	2998.13
790.91	695.7	3004.89
791.01	695.6	3198.66
791.11	695.5	3134.24
