EX322_CEC356_Au_Ag_Cu in H2_1.vms_vb_regions.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey
865.61	621	11196.9
866.11	620.5	11027.2
866.61	620	10947.2
867.11	619.5	11448.3
867.61	619	11476.6
868.11	618.5	11467.9
868.61	618	11377.3
869.11	617.5	11772.4
869.61	617	11588.4
870.11	616.5	11503.9
870.61	616	11472.7
871.11	615.5	11734.9
871.61	615	11552.8
872.11	614.5	11985.7
872.61	614	12071.6
873.11	613.5	11628
873.61	613	11829.4
874.11	612.5	11699.8
874.61	612	11861.1
875.11	611.5	11948.4
875.61	611	11629.6
876.11	610.5	11812.2
876.61	610	12255.2
877.11	609.5	11925.4
877.61	609	12203
878.11	608.5	12232.7
878.61	608	12247.2
879.11	607.5	11983.6
879.61	607	12514
880.11	606.5	12244.7
880.61	606	12356.1
881.11	605.5	11756.1
881.61	605	12365.6
882.11	604.5	12348.5
882.61	604	12415.2
883.11	603.5	12234.3
883.61	603	12325.2
884.11	602.5	12684.6
884.61	602	12783.2
885.11	601.5	12310.3
885.61	601	12154
886.11	600.5	12459.3
886.61	600	12535
887.11	599.5	12776.3
887.61	599	12634.2
888.11	598.5	12937.8
888.61	598	12667.6
889.11	597.5	12278.4
889.61	597	12936.8
890.11	596.5	12938.4
890.61	596	13182.6
891.11	595.5	13319.6
891.61	595	12864.8
892.11	594.5	13237.4
892.61	594	13437.8
893.11	593.5	13003
893.61	593	13102
894.11	592.5	13124.7
894.61	592	13082.7
895.11	591.5	13373.8
895.61	591	13606.1
896.11	590.5	13362.4
896.61	590	13607.2
897.11	589.5	13643.4
897.61	589	13437.8
898.11	588.5	13251.6
898.61	588	13470.9
899.11	587.5	13667
899.61	587	13753.5
900.11	586.5	13854.8
900.61	586	13767.6
901.11	585.5	14206.9
901.61	585	14291.3
902.11	584.5	14225.5
902.61	584	14242.3
903.11	583.5	14679.7
903.61	583	14646.8
904.11	582.5	14851.2
904.61	582	14408
905.11	581.5	14873.2
905.61	581	14775.4
906.11	580.5	15203.8
906.61	580	14754
907.11	579.5	14554.6
907.61	579	14741.1
908.11	578.5	15266.9
908.61	578	15367.8
909.11	577.5	15365.2
909.61	577	15422
910.11	576.5	15406.9
910.61	576	15529.7
911.11	575.5	15668.1
911.61	575	15742.3
912.11	574.5	15618.1
912.61	574	15755.1
913.11	573.5	15658.7
913.61	573	15823.8
914.11	572.5	15948.1
914.61	572	16551.8
915.11	571.5	16173.3
915.61	571	15629.1
916.11	570.5	15878
916.61	570	16155.8
917.11	569.5	16069.3
917.61	569	16378.6
918.11	568.5	16194.9
918.61	568	16095.3
919.11	567.5	16597.3
919.61	567	16821.8
920.11	566.5	16731.3
920.61	566	16636.1
921.11	565.5	16895.4
921.61	565	17674.2
922.11	564.5	17790.7
922.61	564	17956.6
923.11	563.5	17747.3
923.61	563	18361.2
924.11	562.5	19276.5
924.61	562	19001.1
925.11	561.5	19460.6
925.61	561	20174
926.11	560.5	19610
926.61	560	20077.8
927.11	559.5	19991
927.61	559	19853.7
928.11	558.5	19192.6
928.61	558	19148.8
929.11	557.5	18634.8
929.61	557	17972.8
930.11	556.5	17210.2
930.61	556	16885.9
931.11	555.5	16678.1
931.61	555	16477
932.11	554.5	16357.1
932.61	554	16208.4
933.11	553.5	16222.9
933.61	553	16787.9
934.11	552.5	18057.7
934.61	552	18743.8
935.11	551.5	19873.1
935.61	551	21006.2
936.11	550.5	22493.9
936.61	550	25091.7
937.11	549.5	27571.2
937.61	549	30931.4
938.11	548.5	34478.5
938.61	548	38096.4
939.11	547.5	41567.1
939.61	547	44373
940.11	546.5	46269.5
940.61	546	45798.7
941.11	545.5	42927.2
941.61	545	39007.8
942.11	544.5	34626.3
942.61	544	29635.1
943.11	543.5	25525.9
943.61	543	21257.4
944.11	542.5	17906.5
944.61	542	15426.7
945.11	541.5	13096.8
945.61	541	11072.5
946.11	540.5	10002.9
946.61	540	8252.15
947.11	539.5	7406.92
947.61	539	6337.14
948.11	538.5	5471.84
948.61	538	5233.09
949.11	537.5	4609.53
949.61	537	3902.11
950.11	536.5	3492.95
950.61	536	3074.82
951.11	535.5	3015.69
951.61	535	2598.17
952.11	534.5	2221.25
952.61	534	2365.58
953.11	533.5	2348.02
953.61	533	1896.6
954.11	532.5	1422.73
954.61	532	1686.1
955.11	531.5	1530.12
955.61	531	1333.99
956.11	530.5	825.928
956.61	530	1021.31
957.11	529.5	1136.48
957.61	529	979.59
958.11	528.5	947.952
958.61	528	790.879
959.11	527.5	721.087
959.61	527	706.619
960.11	526.5	1040.38
960.61	526	602.824
961.11	525.5	637.284
961.61	525	391.178
962.11	524.5	546.391
962.61	524	504.587
963.11	523.5	375.927
963.61	523	441.557
964.11	522.5	267.741
964.61	522	49.8615
965.11	521.5	431.257
965.61	521	252.418
966.11	520.5	252.041
966.61	520	-86.5713
967.11	519.5	213.062
967.61	519	572.957
968.11	518.5	611.417
968.61	518	597.196
969.11	517.5	780.949
969.61	517	672.289
970.11	516.5	208.519
970.61	516	205.799
971.11	515.5	172.457
971.61	515	426.888
972.11	514.5	377.75
972.61	514	263
973.11	513.5	232.578
973.61	513	552.758
974.11	512.5	30.1944
974.61	512	37.0217
975.11	511.5	101.533
975.61	511	16.1217
976.11	510.5	139.033
976.61	510	104.918
977.11	509.5	342.955
977.61	509	385.81
978.11	508.5	73.9252
978.61	508	-82.3999
979.11	507.5	70.5213
979.61	507	136.4
980.11	506.5	-83.7286
980.61	506	92.7999
981.11	505.5	268.008
981.61	505	-71.5618
982.11	504.5	73.1769
982.61	504	-9.71622
983.11	503.5	676.439
983.61	503	600.491
984.11	502.5	368.014
984.61	502	490.53
985.11	501.5	-15.0491
985.61	501	8.83087
986.11	500.5	303.377
986.61	500	293.956
987.11	499.5	435.827
987.61	499	287.27
988.11	498.5	516.134
