c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.7
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
745.01	741.6	4346.75
745.11	741.5	4676.44
745.21	741.4	4359.67
745.31	741.3	4294.15
745.41	741.2	4440.09
745.51	741.1	4303.48
745.61	741	4277.23
745.71	740.9	4345.29
745.81	740.8	4289.71
745.91	740.7	4385.76
746.01	740.6	4394.13
746.11	740.5	4318.15
746.21	740.4	4314.79
746.31	740.3	4261.45
746.41	740.2	4318.25
746.51	740.1	4199.34
746.61	740	4278.65
746.71	739.9	4274.11
746.81	739.8	4430.74
746.91	739.7	4515.42
747.01	739.6	4581.38
747.11	739.5	4317.07
747.21	739.4	4217.59
747.31	739.3	4189.19
747.41	739.2	4446.75
747.51	739.1	4559.43
747.61	739	4476.12
747.71	738.9	4420.03
747.81	738.8	4420.46
747.91	738.7	4466.53
748.01	738.6	4418.87
748.11	738.5	4162.5
748.21	738.4	4334.85
748.31	738.3	4265.71
748.41	738.2	4539.1
748.51	738.1	4413.84
748.61	738	4372.49
748.71	737.9	4386.43
748.81	737.8	4533.49
748.91	737.7	4418.09
749.01	737.6	4170.7
749.11	737.5	4215.7
749.21	737.4	4323.11
749.31	737.3	4435.44
749.41	737.2	4481.87
749.51	737.1	4423.92
749.61	737	4298.76
749.71	736.9	4494.32
749.81	736.8	4428.35
749.91	736.7	4446.68
750.01	736.6	4546.11
750.11	736.5	4651.94
750.21	736.4	4421.13
750.31	736.3	4372.67
750.41	736.2	4275.78
750.51	736.1	4353.1
750.61	736	4510.07
750.71	735.9	4546.03
750.81	735.8	4459.03
750.91	735.7	4327.31
751.01	735.6	4468.56
751.11	735.5	4396.08
751.21	735.4	4379
751.31	735.3	4373.68
751.41	735.2	4373.73
751.51	735.1	4399.48
751.61	735	4376.32
751.71	734.9	4446.44
751.81	734.8	4419.27
751.91	734.7	4513.08
752.01	734.6	4459.88
752.11	734.5	4450.36
752.21	734.4	4512.46
752.31	734.3	4416.34
752.41	734.2	4348.46
752.51	734.1	4408.46
752.61	734	4579.63
752.71	733.9	4527.05
752.81	733.8	4602.48
752.91	733.7	4640.13
753.01	733.6	4562.72
753.11	733.5	4496.77
753.21	733.4	4363.64
753.31	733.3	4474.99
753.41	733.2	4776.35
753.51	733.1	4513.77
753.61	733	4490.87
753.71	732.9	4444.17
753.81	732.8	4644.18
753.91	732.7	4447.03
754.01	732.6	4570.99
754.11	732.5	4698.75
754.21	732.4	4533.09
754.31	732.3	4415.35
754.41	732.2	4411.24
754.51	732.1	4566.55
754.61	732	4493.02
754.71	731.9	4461.57
754.81	731.8	4408.88
754.91	731.7	4476.21
755.01	731.6	4600.47
755.11	731.5	4530.43
755.21	731.4	4615.92
755.31	731.3	4618.2
755.41	731.2	4540.55
755.51	731.1	4549.69
755.61	731	4599.91
755.71	730.9	4419.14
755.81	730.8	4558.56
755.91	730.7	4404.01
756.01	730.6	4658.75
756.11	730.5	4597.64
756.21	730.4	4623.27
756.31	730.3	4582.02
756.41	730.2	4467.54
756.51	730.1	4500.72
756.61	730	4592.91
756.71	729.9	4659.99
756.81	729.8	4676
756.91	729.7	4590.32
757.01	729.6	4612.1
757.11	729.5	4655.13
757.21	729.4	4481.71
757.31	729.3	4344.56
757.41	729.2	4542.35
757.51	729.1	4628.82
757.61	729	4770.2
757.71	728.9	4613.52
757.81	728.8	4540.62
757.91	728.7	4705.59
758.01	728.6	4621.64
758.11	728.5	4529.01
758.21	728.4	4560.96
758.31	728.3	4705.45
758.41	728.2	4572.96
758.51	728.1	4759.59
758.61	728	4749.54
758.71	727.9	4732.85
758.81	727.8	4603.22
758.91	727.7	4728.33
759.01	727.6	4572.58
759.11	727.5	4848.84
759.21	727.4	4624.98
759.31	727.3	4867.77
759.41	727.2	4763.38
759.51	727.1	4731.74
759.61	727	4694.54
759.71	726.9	4927.71
759.81	726.8	4895.48
759.91	726.7	4897.01
760.01	726.6	4735.13
760.11	726.5	4814.58
760.21	726.4	4964.82
760.31	726.3	4952.91
760.41	726.2	4781.47
760.51	726.1	4986.4
760.61	726	4792.42
760.71	725.9	4675.55
760.81	725.8	4891.53
760.91	725.7	5053.4
761.01	725.6	4950.92
761.11	725.5	4907.92
761.21	725.4	4984.56
761.31	725.3	5014.74
761.41	725.2	4872.25
761.51	725.1	4942.28
761.61	725	4894.46
761.71	724.9	4955.09
761.81	724.8	5122.2
761.91	724.7	5053.09
762.01	724.6	5023.95
762.11	724.5	5019.03
762.21	724.4	5134.99
762.31	724.3	5191.66
762.41	724.2	4972.52
762.51	724.1	5265.67
762.61	724	5250.84
762.71	723.9	5422.77
762.81	723.8	5281.45
762.91	723.7	5292.35
763.01	723.6	5359.34
763.11	723.5	5340.32
763.21	723.4	5288.78
763.31	723.3	5255.16
763.41	723.2	5291.92
763.51	723.1	5285.02
763.61	723	5279.82
763.71	722.9	5335.17
763.81	722.8	5558.42
763.91	722.7	5591.09
764.01	722.6	5499.88
764.11	722.5	5463.08
764.21	722.4	5550.04
764.31	722.3	5458.28
764.41	722.2	5610.19
764.51	722.1	5711.89
764.61	722	5618.03
764.71	721.9	5571.24
764.81	721.8	5655.5
764.91	721.7	5837.62
765.01	721.6	5670.68
765.11	721.5	5512.5
765.21	721.4	5663.74
765.31	721.3	5835.1
765.41	721.2	5970.06
765.51	721.1	5973.65
765.61	721	5724.04
765.71	720.9	5730.34
765.81	720.8	5921.32
765.91	720.7	5826.36
766.01	720.6	5943.35
766.11	720.5	5822.64
766.21	720.4	5789.72
766.31	720.3	5893.37
766.41	720.2	5859.54
766.51	720.1	5904.3
766.61	720	5945.43
766.71	719.9	5996.42
766.81	719.8	6125.49
766.91	719.7	5926.14
767.01	719.6	5985.18
767.11	719.5	5913.39
767.21	719.4	6040.31
767.31	719.3	6221.14
767.41	719.2	6022.42
767.51	719.1	5845.09
767.61	719	5947.4
767.71	718.9	6060.73
767.81	718.8	6175.44
767.91	718.7	6197.15
768.01	718.6	6005.34
768.11	718.5	6037.69
768.21	718.4	5970.18
768.31	718.3	5797.95
768.41	718.2	5895.17
768.51	718.1	5906.31
768.61	718	5895.78
768.71	717.9	5864.93
768.81	717.8	5739.94
768.91	717.7	5783.29
769.01	717.6	5761.91
769.11	717.5	5841.71
769.21	717.4	5671.56
769.31	717.3	5750.55
769.41	717.2	5803.27
769.51	717.1	5761.34
769.61	717	5670.65
769.71	716.9	5785.05
769.81	716.8	5601.54
769.91	716.7	5356.01
770.01	716.6	5661.59
770.11	716.5	5480.61
770.21	716.4	5514.54
770.31	716.3	5544.56
770.41	716.2	5430.98
770.51	716.1	5411.91
770.61	716	5371.01
770.71	715.9	5125.03
770.81	715.8	5232.79
770.91	715.7	5334.38
771.01	715.6	5388.08
771.11	715.5	5275.27
771.21	715.4	5014.76
771.31	715.3	5134.58
771.41	715.2	5004.08
771.51	715.1	5085.04
771.61	715	5046.16
771.71	714.9	4966.66
771.81	714.8	4952.32
771.91	714.7	4950.65
772.01	714.6	4914.23
772.11	714.5	4827.72
772.21	714.4	4835.31
772.31	714.3	4764.51
772.41	714.2	4944.24
772.51	714.1	5065.94
772.61	714	4997.34
772.71	713.9	4772.24
772.81	713.8	4685.16
772.91	713.7	4673.01
773.01	713.6	4658.44
773.11	713.5	4786.7
773.21	713.4	4740.34
773.31	713.3	4613.56
773.41	713.2	4704.67
773.51	713.1	4690.19
773.61	713	4654.44
773.71	712.9	4581.31
773.81	712.8	4702.78
773.91	712.7	4694.07
774.01	712.6	4504.99
774.11	712.5	4478.64
774.21	712.4	4464.51
774.31	712.3	4478.1
774.41	712.2	4476.55
774.51	712.1	4324.37
774.61	712	4435.87
774.71	711.9	4229.98
774.81	711.8	4380.44
774.91	711.7	4398.81
775.01	711.6	4502.76
775.11	711.5	4520.8
775.21	711.4	4501.35
775.31	711.3	4579.02
775.41	711.2	4295.1
775.51	711.1	4307.62
775.61	711	4185.03
775.71	710.9	4163.05
775.81	710.8	4406.35
775.91	710.7	4327.81
776.01	710.6	4387.6
776.11	710.5	4346.08
776.21	710.4	4313.16
776.31	710.3	4273.92
776.41	710.2	4287.03
776.51	710.1	4227.36
776.61	710	4209.68
776.71	709.9	4279.13
776.81	709.8	4404.38
776.91	709.7	4329.92
777.01	709.6	4386.13
777.11	709.5	4332.8
777.21	709.4	4248.23
777.31	709.3	4130.8
777.41	709.2	4184.11
777.51	709.1	4187.54
777.61	709	4098.78
777.71	708.9	3973.74
777.81	708.8	3941.79
777.91	708.7	4189.2
778.01	708.6	4187.66
778.11	708.5	4202.53
778.21	708.4	4134.98
778.31	708.3	4248.86
778.41	708.2	4094.5
778.51	708.1	4137.98
778.61	708	4219.02
778.71	707.9	3874.28
778.81	707.8	3815.8
778.91	707.7	4052.81
779.01	707.6	4031.58
779.11	707.5	4057.14
779.21	707.4	3990.14
779.31	707.3	4168.87
779.41	707.2	4046.42
779.51	707.1	4017.74
779.61	707	4026.83
779.71	706.9	3916.79
779.81	706.8	4099.23
779.91	706.7	4024.01
780.01	706.6	3959.06
780.11	706.5	4050.59
780.21	706.4	3976.55
780.31	706.3	3935.99
780.41	706.2	3876.2
780.51	706.1	3791.27
780.61	706	3862.78
780.71	705.9	3923.74
780.81	705.8	3964.42
780.91	705.7	3975.73
781.01	705.6	3900.79
781.11	705.5	3922.87
781.21	705.4	4057.96
781.31	705.3	3899.45
781.41	705.2	4083.54
781.51	705.1	4046.72
781.61	705	3974.18
781.71	704.9	4110.3
781.81	704.8	3917.04
781.91	704.7	3885.1
782.01	704.6	3771.94
782.11	704.5	3940.83
782.21	704.4	3859.39
782.31	704.3	3889.74
782.41	704.2	4053.67
782.51	704.1	4012.03
782.61	704	3902.61
782.71	703.9	3789.28
782.81	703.8	3919.24
782.91	703.7	3918.78
783.01	703.6	3969.35
783.11	703.5	4062.61
783.21	703.4	4023.65
783.31	703.3	3899.96
783.41	703.2	3913.06
783.51	703.1	3874.89
783.61	703	4190.53
783.71	702.9	4086.13
783.81	702.8	3976.72
783.91	702.7	3986.14
784.01	702.6	3884.51
784.11	702.5	3823.49
784.21	702.4	3907.59
784.31	702.3	4200.58
784.41	702.2	3932.54
784.51	702.1	4082.52
784.61	702	4013.99
784.71	701.9	3940.35
784.81	701.8	4010.46
784.91	701.7	3856.92
785.01	701.6	3884.86
785.11	701.5	3905.29
785.21	701.4	3791.29
785.31	701.3	3995.47
785.41	701.2	4056.12
785.51	701.1	3981.72
785.61	701	4033.44
785.71	700.9	3949.71
785.81	700.8	3929.9
785.91	700.7	4066.31
786.01	700.6	3785.92
786.11	700.5	3802.85
786.21	700.4	3835.12
786.31	700.3	3830.2
786.41	700.2	4007.35
786.51	700.1	3921.68
786.61	700	3867.85
786.71	699.9	3943.38
786.81	699.8	3787.46
786.91	699.7	3977.43
787.01	699.6	3870.86
787.11	699.5	3789.98
787.21	699.4	3908.49
787.31	699.3	4038.42
787.41	699.2	3872.92
787.51	699.1	3884.64
787.61	699	3960.51
787.71	698.9	3880.39
787.81	698.8	3884.61
787.91	698.7	3805.93
788.01	698.6	3790.62
788.11	698.5	3959.12
788.21	698.4	3855.6
788.31	698.3	3799.25
788.41	698.2	3833.94
788.51	698.1	3793.57
788.61	698	3923.07
788.71	697.9	3740.09
788.81	697.8	3820.78
788.91	697.7	3798.36
789.01	697.6	3806.22
789.11	697.5	3915.8
789.21	697.4	3841.11
789.31	697.3	3700.6
789.41	697.2	3859.34
789.51	697.1	4038.64
789.61	697	3940.15
789.71	696.9	3871.26
789.81	696.8	3914.49
789.91	696.7	3955.52
790.01	696.6	3885.17
790.11	696.5	3900.32
790.21	696.4	3811.83
790.31	696.3	3796.75
790.41	696.2	3872.44
790.51	696.1	4057.84
790.61	696	3901.81
790.71	695.9	3852.13
790.81	695.8	3822.63
790.91	695.7	3848.19
791.01	695.6	3768.03
791.11	695.5	3773.04
