c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
755.91	730.7	2950.17
756.01	730.6	2794.92
756.11	730.5	2813.22
756.21	730.4	2831.47
756.31	730.3	2861.32
756.41	730.2	3026.21
756.51	730.1	2994.31
756.61	730	2833.51
756.71	729.9	2828.86
756.81	729.8	2802.85
756.91	729.7	2813.65
757.01	729.6	2928.7
757.11	729.5	2890.34
757.21	729.4	2766.79
757.31	729.3	2744.04
757.41	729.2	2879.23
757.51	729.1	2833.48
757.61	729	2852.42
757.71	728.9	2880.67
757.81	728.8	2965.01
757.91	728.7	2864.16
758.01	728.6	2892.45
758.11	728.5	2768.85
758.21	728.4	2964.34
758.31	728.3	2959.49
758.41	728.2	2817.13
758.51	728.1	2773.62
758.61	728	2868.07
758.71	727.9	2893.66
758.81	727.8	2727.45
758.91	727.7	2829.2
759.01	727.6	2737.19
759.11	727.5	2829.18
759.21	727.4	2858.12
759.31	727.3	2890.52
759.41	727.2	2935.11
759.51	727.1	2831.6
759.61	727	2822.59
759.71	726.9	2762.68
759.81	726.8	2888.82
759.91	726.7	2850.82
760.01	726.6	2929.36
760.11	726.5	2921.1
760.21	726.4	2843.14
760.31	726.3	2753.23
760.41	726.2	2786.82
760.51	726.1	2806.81
760.61	726	2857.05
760.71	725.9	2999.29
760.81	725.8	2863.63
760.91	725.7	2899.22
761.01	725.6	2831.71
761.11	725.5	2836.94
761.21	725.4	2860.38
761.31	725.3	2931.42
