c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_ag he largearea.vms
Pr:Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_Pr:Ag3p	BE_Pr:Ag3p	CPS_Pr:Ag3p
752.91	733.7	3431.93
753.01	733.6	3333.99
753.11	733.5	3403.5
753.21	733.4	3397.38
753.31	733.3	3363.89
753.41	733.2	3368.19
753.51	733.1	3382.35
753.61	733	3369.86
753.71	732.9	3377.71
753.81	732.8	3373.94
753.91	732.7	3404.38
754.01	732.6	3436.64
754.11	732.5	3399.18
754.21	732.4	3396.1
754.31	732.3	3496.54
754.41	732.2	3447.66
754.51	732.1	3391.27
754.61	732	3377.57
754.71	731.9	3387.42
754.81	731.8	3424.5
754.91	731.7	3494.7
755.01	731.6	3436.2
755.11	731.5	3428.01
755.21	731.4	3430.07
755.31	731.3	3413.98
755.41	731.2	3472.69
755.51	731.1	3438.64
755.61	731	3409.14
755.71	730.9	3360.54
755.81	730.8	3452.21
755.91	730.7	3373.85
756.01	730.6	3452.04
756.11	730.5	3410.19
756.21	730.4	3462.48
756.31	730.3	3510.88
756.41	730.2	3430.75
756.51	730.1	3446.56
756.61	730	3427.58
756.71	729.9	3423.73
756.81	729.8	3401.06
756.91	729.7	3385.69
757.01	729.6	3392.22
757.11	729.5	3479.06
757.21	729.4	3543.45
757.31	729.3	3499.36
757.41	729.2	3553.96
757.51	729.1	3417.04
757.61	729	3367.23
757.71	728.9	3399.55
757.81	728.8	3423.46
757.91	728.7	3436.95
758.01	728.6	3445.72
758.11	728.5	3476.73
758.21	728.4	3469.29
758.31	728.3	3479.09
758.41	728.2	3511.72
758.51	728.1	3526.59
758.61	728	3490.95
758.71	727.9	3494.16
758.81	727.8	3581.72
758.91	727.7	3591.42
759.01	727.6	3581.32
759.11	727.5	3542.5
759.21	727.4	3478.75
759.31	727.3	3551.48
759.41	727.2	3474.24
759.51	727.1	3541.28
759.61	727	3521.25
759.71	726.9	3544.57
759.81	726.8	3502.23
759.91	726.7	3520.48
760.01	726.6	3519.82
760.11	726.5	3635.83
760.21	726.4	3641.21
760.31	726.3	3497.9
760.41	726.2	3535.87
760.51	726.1	3525.84
760.61	726	3617.19
760.71	725.9	3602.7
760.81	725.8	3491.84
760.91	725.7	3528.67
761.01	725.6	3607.16
761.11	725.5	3560.81
761.21	725.4	3589.33
761.31	725.3	3632.09
761.41	725.2	3662.33
761.51	725.1	3712.7
761.61	725	3547.53
761.71	724.9	3646.36
761.81	724.8	3642.32
761.91	724.7	3630.14
762.01	724.6	3668.66
762.11	724.5	3636.48
762.21	724.4	3599.45
762.31	724.3	3715.37
762.41	724.2	3663.2
762.51	724.1	3745.4
