c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
757.61	729	2700.1
757.71	728.9	2609.36
757.81	728.8	2495.78
757.91	728.7	2577.44
758.01	728.6	2564.6
758.11	728.5	2595.6
758.21	728.4	2634.12
758.31	728.3	2560.61
758.41	728.2	2568.84
758.51	728.1	2476.56
758.61	728	2499.32
758.71	727.9	2461.25
758.81	727.8	2435.14
758.91	727.7	2584.06
759.01	727.6	2614.52
759.11	727.5	2502.37
759.21	727.4	2524.1
759.31	727.3	2534.15
759.41	727.2	2486.51
759.51	727.1	2546.03
759.61	727	2574.98
759.71	726.9	2565.77
759.81	726.8	2486.63
759.91	726.7	2517.88
760.01	726.6	2494.33
760.11	726.5	2479.95
760.21	726.4	2545.37
760.31	726.3	2548.96
760.41	726.2	2555.61
760.51	726.1	2502.53
760.61	726	2520.08
760.71	725.9	2586.23
760.81	725.8	2660.35
760.91	725.7	2615.33
761.01	725.6	2549.85
761.11	725.5	2525.73
761.21	725.4	2527.85
761.31	725.3	2570.6
761.41	725.2	2643.41
