c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au he largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1062.91	423.7	14239.7
1063.01	423.6	14225.7
1063.11	423.5	14102.5
1063.21	423.4	14128
1063.31	423.3	14182.3
1063.41	423.2	14164.8
1063.51	423.1	14084.6
1063.61	423	14177
1063.71	422.9	14152.2
1063.81	422.8	14177.1
1063.91	422.7	14219.1
1064.01	422.6	14137.7
1064.11	422.5	14155.6
1064.21	422.4	14199.9
1064.31	422.3	14276
1064.41	422.2	14328.4
1064.51	422.1	14322.6
1064.61	422	14170.1
1064.71	421.9	14245
1064.81	421.8	14274
1064.91	421.7	14261.5
1065.01	421.6	14243.5
1065.11	421.5	14188.5
1065.21	421.4	14141.4
1065.31	421.3	14192.1
1065.41	421.2	14170.5
1065.51	421.1	14136.8
1065.61	421	14285.5
1065.71	420.9	14186.8
1065.81	420.8	14221.6
1065.91	420.7	14228.6
1066.01	420.6	14283.6
1066.11	420.5	14260.2
1066.21	420.4	14213.6
1066.31	420.3	14311.1
1066.41	420.2	14284.5
1066.51	420.1	14274.2
1066.61	420	14400.2
1066.71	419.9	14215.4
1066.81	419.8	14240.1
1066.91	419.7	14212
1067.01	419.6	14313.6
1067.11	419.5	14237
1067.21	419.4	14310.4
1067.31	419.3	14273.8
1067.41	419.2	14280.5
1067.51	419.1	14323.2
1067.61	419	14262.9
1067.71	418.9	14218.3
1067.81	418.8	14229.4
1067.91	418.7	14323.8
1068.01	418.6	14390.2
1068.11	418.5	14399.4
1068.21	418.4	14385
1068.31	418.3	14356.3
1068.41	418.2	14398.7
1068.51	418.1	14370.3
1068.61	418	14324.1
1068.71	417.9	14349.1
1068.81	417.8	14410
1068.91	417.7	14377.4
1069.01	417.6	14403.8
1069.11	417.5	14299.6
1069.21	417.4	14322.9
1069.31	417.3	14334.7
1069.41	417.2	14386.1
1069.51	417.1	14348.7
1069.61	417	14476
1069.71	416.9	14398.7
1069.81	416.8	14265.2
1069.91	416.7	14321.9
1070.01	416.6	14426.8
1070.11	416.5	14347.5
1070.21	416.4	14362.8
1070.31	416.3	14374.8
1070.41	416.2	14379.6
1070.51	416.1	14410.1
1070.61	416	14381.1
1070.71	415.9	14423.6
1070.81	415.8	14376.6
1070.91	415.7	14325.4
1071.01	415.6	14354
1071.11	415.5	14480.6
1071.21	415.4	14482.1
1071.31	415.3	14587.2
1071.41	415.2	14486
1071.51	415.1	14414.6
1071.61	415	14522.8
1071.71	414.9	14491.6
1071.81	414.8	14424.7
1071.91	414.7	14498.5
1072.01	414.6	14406.3
1072.11	414.5	14406.1
1072.21	414.4	14452
1072.31	414.3	14454.3
1072.41	414.2	14516.9
1072.51	414.1	14501.2
1072.61	414	14479.4
1072.71	413.9	14503.1
1072.81	413.8	14421.6
1072.91	413.7	14481.4
1073.01	413.6	14494.6
1073.11	413.5	14435.7
1073.21	413.4	14470.9
1073.31	413.3	14522.7
1073.41	413.2	14606
1073.51	413.1	14612.1
1073.61	413	14528.1
1073.71	412.9	14468.4
1073.81	412.8	14482.2
1073.91	412.7	14501.3
1074.01	412.6	14538.6
1074.11	412.5	14491.4
1074.21	412.4	14645.1
1074.31	412.3	14626.9
1074.41	412.2	14598.9
1074.51	412.1	14557.4
1074.61	412	14551.7
1074.71	411.9	14602.2
1074.81	411.8	14650.5
1074.91	411.7	14644.3
1075.01	411.6	14577.4
1075.11	411.5	14614.8
1075.21	411.4	14594.6
1075.31	411.3	14566.2
1075.41	411.2	14658.2
1075.51	411.1	14547.6
1075.61	411	14493.2
1075.71	410.9	14655.9
1075.81	410.8	14612
1075.91	410.7	14604.5
1076.01	410.6	14541.3
1076.11	410.5	14604.7
1076.21	410.4	14595.5
1076.31	410.3	14573.1
1076.41	410.2	14633.2
1076.51	410.1	14695
1076.61	410	14583.9
1076.71	409.9	14632.8
1076.81	409.8	14712.6
1076.91	409.7	14708
1077.01	409.6	14642.1
1077.11	409.5	14641.8
1077.21	409.4	14747.7
1077.31	409.3	14718.1
1077.41	409.2	14684
1077.51	409.1	14753.5
1077.61	409	14671.5
1077.71	408.9	14608
1077.81	408.8	14682.3
1077.91	408.7	14781.3
1078.01	408.6	14693.7
1078.11	408.5	14827.7
1078.21	408.4	14791.9
1078.31	408.3	14768.1
1078.41	408.2	14691.4
1078.51	408.1	14749.7
1078.61	408	14743.5
1078.71	407.9	14822.2
1078.81	407.8	14806
1078.91	407.7	14739.8
1079.01	407.6	14731.4
1079.11	407.5	14861
1079.21	407.4	14759.6
1079.31	407.3	14757.7
1079.41	407.2	14818.5
1079.51	407.1	14782.4
1079.61	407	14756.3
1079.71	406.9	14750.3
1079.81	406.8	14807.3
1079.91	406.7	14784
1080.01	406.6	14799.5
1080.11	406.5	14834.7
1080.21	406.4	14724.1
1080.31	406.3	14707.2
1080.41	406.2	14794.6
1080.51	406.1	14852.7
1080.61	406	14918
1080.71	405.9	14752.3
1080.81	405.8	14822.6
1080.91	405.7	14946.4
1081.01	405.6	14852
1081.11	405.5	14870.6
1081.21	405.4	14841.7
1081.31	405.3	14735.2
1081.41	405.2	14873.1
1081.51	405.1	14966.2
1081.61	405	14859.2
1081.71	404.9	14864.7
1081.81	404.8	14920.8
1081.91	404.7	14822.5
1082.01	404.6	14841.7
1082.11	404.5	14888.4
1082.21	404.4	14904.3
1082.31	404.3	14845.5
1082.41	404.2	14967.6
1082.51	404.1	15067.1
1082.61	404	15014.2
1082.71	403.9	14912.1
1082.81	403.8	14866.2
1082.91	403.7	14899
1083.01	403.6	14846
1083.11	403.5	14849.8
1083.21	403.4	14979.2
1083.31	403.3	15007.6
1083.41	403.2	15001
1083.51	403.1	15004
1083.61	403	14997.8
1083.71	402.9	15030.1
1083.81	402.8	14972.8
1083.91	402.7	15006.8
1084.01	402.6	15095.3
1084.11	402.5	15060.3
1084.21	402.4	14957.2
1084.31	402.3	14970.4
1084.41	402.2	14962.2
1084.51	402.1	14934.2
1084.61	402	15062.4
1084.71	401.9	15083.6
1084.81	401.8	15056.9
1084.91	401.7	15067.3
1085.01	401.6	15179.4
1085.11	401.5	15111.6
1085.21	401.4	15061.1
1085.31	401.3	14983.2
1085.41	401.2	15144.5
1085.51	401.1	15107.1
1085.61	401	14979.8
1085.71	400.9	15081.1
1085.81	400.8	15135.1
1085.91	400.7	15244.7
1086.01	400.6	15070.5
1086.11	400.5	15128.7
1086.21	400.4	15181.7
1086.31	400.3	15191
1086.41	400.2	15195.1
1086.51	400.1	15146.9
1086.61	400	15203.6
1086.71	399.9	15174.2
1086.81	399.8	15152.7
1086.91	399.7	15172.6
1087.01	399.6	15146.4
1087.11	399.5	15121.9
1087.21	399.4	15189
1087.31	399.3	15250
1087.41	399.2	15106.8
1087.51	399.1	15118.4
1087.61	399	15188.1
1087.71	398.9	15170.1
1087.81	398.8	15221.3
1087.91	398.7	15247.8
1088.01	398.6	15180.1
1088.11	398.5	15210.1
1088.21	398.4	15290.5
1088.31	398.3	15243.5
1088.41	398.2	15254
1088.51	398.1	15269
1088.61	398	15153.7
1088.71	397.9	15205
1088.81	397.8	15312.4
1088.91	397.7	15261.7
1089.01	397.6	15248
1089.11	397.5	15201.8
1089.21	397.4	15293.1
1089.31	397.3	15332.1
1089.41	397.2	15263.5
1089.51	397.1	15256.7
1089.61	397	15331.5
1089.71	396.9	15334.3
1089.81	396.8	15342.5
1089.91	396.7	15395.1
1090.01	396.6	15335.2
1090.11	396.5	15309.2
1090.21	396.4	15315.2
1090.31	396.3	15223.9
1090.41	396.2	15287.9
1090.51	396.1	15348.8
1090.61	396	15245
1090.71	395.9	15221.3
1090.81	395.8	15400.7
1090.91	395.7	15349.4
1091.01	395.6	15391.3
1091.11	395.5	15463
1091.21	395.4	15423.2
1091.31	395.3	15338.9
1091.41	395.2	15365.9
1091.51	395.1	15387.9
1091.61	395	15385.3
1091.71	394.9	15348.3
1091.81	394.8	15398.9
1091.91	394.7	15549
1092.01	394.6	15395.4
1092.11	394.5	15254.2
1092.21	394.4	15313.2
1092.31	394.3	15421.9
1092.41	394.2	15349.8
1092.51	394.1	15420.7
1092.61	394	15554.7
1092.71	393.9	15472
1092.81	393.8	15368
1092.91	393.7	15497.2
1093.01	393.6	15603.2
1093.11	393.5	15525.7
1093.21	393.4	15455.1
1093.31	393.3	15463.6
1093.41	393.2	15603
1093.51	393.1	15528
1093.61	393	15455
1093.71	392.9	15636.8
1093.81	392.8	15573.3
1093.91	392.7	15490.1
1094.01	392.6	15580.6
1094.11	392.5	15555.2
1094.21	392.4	15574.5
1094.31	392.3	15420
1094.41	392.2	15443.9
1094.51	392.1	15599.2
1094.61	392	15610.5
1094.71	391.9	15501
1094.81	391.8	15610.8
1094.91	391.7	15520.1
1095.01	391.6	15584.4
1095.11	391.5	15598.7
1095.21	391.4	15649.1
