c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Au4d	BE_Au4d	CPS_Au4d
1089.61	397	8243.4
1089.71	396.9	8196
1089.81	396.8	8178.93
1089.91	396.7	8280.83
1090.01	396.6	8237.37
1090.11	396.5	8312.3
1090.21	396.4	8238.83
1090.31	396.3	8273.6
1090.41	396.2	8295.97
1090.51	396.1	8264.1
1090.61	396	8287.87
1090.71	395.9	8180.13
1090.81	395.8	8170.9
1090.91	395.7	8235.53
1091.01	395.6	8238.87
1091.11	395.5	8196.77
1091.21	395.4	8211.83
1091.31	395.3	8282.93
1091.41	395.2	8270.43
1091.51	395.1	8315.67
1091.61	395	8221.43
1091.71	394.9	8268.27
1091.81	394.8	8238.37
1091.91	394.7	8242.87
1092.01	394.6	8316.93
1092.11	394.5	8254.07
1092.21	394.4	8249.2
1092.31	394.3	8325.37
1092.41	394.2	8332.17
1092.51	394.1	8325.53
1092.61	394	8311.93
1092.71	393.9	8220.3
1092.81	393.8	8311.33
1092.91	393.7	8275.6
1093.01	393.6	8302.13
1093.11	393.5	8265.03
1093.21	393.4	8267.43
1093.31	393.3	8289.6
1093.41	393.2	8293.13
1093.51	393.1	8254.13
1093.61	393	8280.4
1093.71	392.9	8345.4
1093.81	392.8	8309.03
1093.91	392.7	8303.43
1094.01	392.6	8315.83
1094.11	392.5	8365
1094.21	392.4	8318.87
1094.31	392.3	8276.97
1094.41	392.2	8272.7
1094.51	392.1	8322.8
1094.61	392	8267.83
1094.71	391.9	8247.57
1094.81	391.8	8368.57
1094.91	391.7	8298.1
1095.01	391.6	8372.17
1095.11	391.5	8382.4
1095.21	391.4	8385.43
1095.31	391.3	8327.33
1095.41	391.2	8336.77
1095.51	391.1	8270.4
1095.61	391	8363.6
1095.71	390.9	8334.2
1095.81	390.8	8411.7
1095.91	390.7	8371.3
1096.01	390.6	8403.13
1096.11	390.5	8392.87
1096.21	390.4	8401.43
1096.31	390.3	8419.73
1096.41	390.2	8375.13
1096.51	390.1	8386.07
1096.61	390	8431.03
1096.71	389.9	8444.57
1096.81	389.8	8399.2
1096.91	389.7	8431.8
1097.01	389.6	8425.73
1097.11	389.5	8403.17
1097.21	389.4	8440.17
1097.31	389.3	8330.13
1097.41	389.2	8478
1097.51	389.1	8393.43
1097.61	389	8434.57
1097.71	388.9	8432.33
1097.81	388.8	8358.63
1097.91	388.7	8435.77
1098.01	388.6	8426.37
1098.11	388.5	8456.93
1098.21	388.4	8487.43
1098.31	388.3	8494.83
1098.41	388.2	8387.13
1098.51	388.1	8463.5
1098.61	388	8504.03
1098.71	387.9	8451.4
1098.81	387.8	8412.93
1098.91	387.7	8466.3
1099.01	387.6	8492.4
1099.11	387.5	8410.97
1099.21	387.4	8474.67
1099.31	387.3	8406.83
1099.41	387.2	8353.03
1099.51	387.1	8398.6
1099.61	387	8498.8
1099.71	386.9	8473.67
1099.81	386.8	8528.03
1099.91	386.7	8437.03
1100.01	386.6	8511.07
1100.11	386.5	8553.57
1100.21	386.4	8521.5
1100.31	386.3	8461.43
1100.41	386.2	8554.37
1100.51	386.1	8422.13
1100.61	386	8595.13
1100.71	385.9	8533.73
1100.81	385.8	8547.2
1100.91	385.7	8517.23
1101.01	385.6	8537.5
1101.11	385.5	8551.67
1101.21	385.4	8540.83
1101.31	385.3	8541.7
1101.41	385.2	8480
1101.51	385.1	8556.5
1101.61	385	8608.07
1101.71	384.9	8560.47
1101.81	384.8	8576.87
1101.91	384.7	8564.53
1102.01	384.6	8558.27
1102.11	384.5	8506.2
1102.21	384.4	8490.67
1102.31	384.3	8535
1102.41	384.2	8574.9
1102.51	384.1	8714.63
1102.61	384	8588.27
1102.71	383.9	8537.9
1102.81	383.8	8527.13
1102.91	383.7	8597.87
1103.01	383.6	8569.87
1103.11	383.5	8639.83
1103.21	383.4	8581.83
1103.31	383.3	8590.37
1103.41	383.2	8524.8
1103.51	383.1	8615.7
1103.61	383	8587.6
1103.71	382.9	8611.53
1103.81	382.8	8678.7
1103.91	382.7	8632.63
1104.01	382.6	8562.2
1104.11	382.5	8616.73
1104.21	382.4	8627.37
1104.31	382.3	8498.03
1104.41	382.2	8590.87
1104.51	382.1	8663.2
1104.61	382	8652.67
1104.71	381.9	8663.93
1104.81	381.8	8597.5
1104.91	381.7	8597.53
1105.01	381.6	8623.7
1105.11	381.5	8626.93
1105.21	381.4	8669.63
1105.31	381.3	8628.23
1105.41	381.2	8709.3
1105.51	381.1	8659.07
1105.61	381	8551.2
1105.71	380.9	8591.53
1105.81	380.8	8670.43
1105.91	380.7	8623
1106.01	380.6	8569.1
1106.11	380.5	8603.8
1106.21	380.4	8605.9
1106.31	380.3	8588.13
1106.41	380.2	8701.8
1106.51	380.1	8655.73
1106.61	380	8610.17
1106.71	379.9	8616.23
1106.81	379.8	8653.3
1106.91	379.7	8666.77
1107.01	379.6	8639.27
1107.11	379.5	8648.9
1107.21	379.4	8692.27
1107.31	379.3	8660.33
1107.41	379.2	8684.17
1107.51	379.1	8609.4
1107.61	379	8586.63
1107.71	378.9	8617.37
1107.81	378.8	8666.7
1107.91	378.7	8635.53
1108.01	378.6	8631.3
1108.11	378.5	8663.5
1108.21	378.4	8654.97
1108.31	378.3	8625.4
1108.41	378.2	8726.73
1108.51	378.1	8642.6
1108.61	378	8633.77
1108.71	377.9	8684.3
1108.81	377.8	8725.53
1108.91	377.7	8633.1
1109.01	377.6	8716.07
1109.11	377.5	8734.1
1109.21	377.4	8686.57
1109.31	377.3	8649.97
1109.41	377.2	8603
1109.51	377.1	8558.57
1109.61	377	8636.37
1109.71	376.9	8704.8
1109.81	376.8	8713.3
1109.91	376.7	8674.53
1110.01	376.6	8688.03
1110.11	376.5	8644.83
1110.21	376.4	8616.83
1110.31	376.3	8724.73
1110.41	376.2	8676.47
1110.51	376.1	8638.9
1110.61	376	8698.3
1110.71	375.9	8777.53
1110.81	375.8	8632.37
1110.91	375.7	8655.7
1111.01	375.6	8665.43
1111.11	375.5	8579.3
1111.21	375.4	8644.1
1111.31	375.3	8574.6
1111.41	375.2	8628.07
1111.51	375.1	8695.53
1111.61	375	8659.7
1111.71	374.9	8655.87
1111.81	374.8	8699.37
1111.91	374.7	8766.27
1112.01	374.6	8663.57
1112.11	374.5	8726.43
1112.21	374.4	8649.5
1112.31	374.3	8687.33
1112.41	374.2	8728.9
1112.51	374.1	8688.67
1112.61	374	8748.63
1112.71	373.9	8697.5
1112.81	373.8	8681.5
1112.91	373.7	8693.63
1113.01	373.6	8739.43
1113.11	373.5	8747.6
1113.21	373.4	8801.97
1113.31	373.3	8751.9
1113.41	373.2	8785.83
1113.51	373.1	8827.7
1113.61	373	8771.03
1113.71	372.9	8742.13
1113.81	372.8	8748.5
1113.91	372.7	8720.53
1114.01	372.6	8735.13
1114.11	372.5	8782.1
1114.21	372.4	8744.97
1114.31	372.3	8780.33
1114.41	372.2	8781.73
1114.51	372.1	8812.43
1114.61	372	8808.77
