C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_AgMNN	BE_AgMNN	CPS_AgMNN	Background_AgMNN
317.11	1169.5	9680.72	9680.72
317.21	1169.4	9726.17	9726.17
317.31	1169.3	9680.06	9680.06
317.41	1169.2	9695.57	9695.57
317.51	1169.1	9816.76	9816.76
317.61	1169	9851.47	9851.47
317.71	1168.9	9702.27	9702.27
317.81	1168.8	9654.22	9654.22
317.91	1168.7	9691.09	9691.09
318.01	1168.6	9587.6	9587.6
318.11	1168.5	9731.65	9731.65
318.21	1168.4	9688.75	9688.75
318.31	1168.3	9684.67	9684.67
318.41	1168.2	9865.57	9865.57
318.51	1168.1	9792.83	9792.83
318.61	1168	9784.95	9784.95
318.71	1167.9	9735.13	9735.13
318.81	1167.8	9714.17	9714.17
318.91	1167.7	9613.75	9613.75
319.01	1167.6	9683.77	9683.77
319.11	1167.5	9784.06	9784.06
319.21	1167.4	9772.21	9772.21
319.31	1167.3	9686.67	9686.67
319.41	1167.2	9751.64	9751.64
319.51	1167.1	9810.72	9810.72
319.61	1167	9791.75	9791.75
319.71	1166.9	9780.87	9780.87
319.81	1166.8	9687.76	9687.76
319.91	1166.7	9646.88	9646.88
320.01	1166.6	9662.42	9662.42
320.11	1166.5	9707.69	9707.69
320.21	1166.4	9616.93	9616.93
320.31	1166.3	9683.51	9683.51
320.41	1166.2	9681.87	9681.87
320.51	1166.1	9758.62	9758.62
320.61	1166	9631.82	9631.82
320.71	1165.9	9622.92	9622.92
320.81	1165.8	9748.53	9748.53
320.91	1165.7	9844.39	9844.39
321.01	1165.6	9768.27	9768.27
321.11	1165.5	9755.41	9755.41
321.21	1165.4	9656.68	9656.68
321.31	1165.3	9745.57	9745.57
321.41	1165.2	9840.03	9840.03
321.51	1165.1	9741.28	9741.28
321.61	1165	9769.33	9769.33
321.71	1164.9	9787.98	9787.98
321.81	1164.8	9860.62	9860.62
321.91	1164.7	9653.06	9653.06
322.01	1164.6	9726.83	9726.83
322.11	1164.5	9824.39	9824.39
322.21	1164.4	9769.07	9769.07
322.31	1164.3	9746.18	9746.18
322.41	1164.2	9884.36	9884.36
322.51	1164.1	9714.87	9714.87
322.61	1164	9693.59	9693.59
322.71	1163.9	9805.1	9805.1
322.81	1163.8	9859.81	9859.81
322.91	1163.7	9776.57	9776.57
323.01	1163.6	9868.18	9868.18
323.11	1163.5	9773.32	9773.32
323.21	1163.4	9696.19	9696.19
323.31	1163.3	9779.04	9779.04
323.41	1163.2	9765.11	9765.11
323.51	1163.1	9754.44	9754.44
323.61	1163	9885.34	9885.34
323.71	1162.9	9737.75	9737.75
323.81	1162.8	9748.85	9748.85
323.91	1162.7	9840.08	9840.08
324.01	1162.6	9788.69	9788.69
324.11	1162.5	9864.23	9864.23
324.21	1162.4	9962.73	9962.73
324.31	1162.3	9971.38	9971.38
324.41	1162.2	9830.48	9830.48
324.51	1162.1	9907.3	9907.3
324.61	1162	9950.83	9950.83
324.71	1161.9	9837.5	9837.5
324.81	1161.8	9935.47	9935.47
324.91	1161.7	9875.41	9875.41
325.01	1161.6	9913.59	9913.59
325.11	1161.5	9936	9936
325.21	1161.4	9946.61	9946.61
325.31	1161.3	9801.05	9801.05
325.41	1161.2	9980.39	9980.39
325.51	1161.1	9976.3	9976.3
325.61	1161	9951.09	9951.09
325.71	1160.9	9971.25	9971.25
325.81	1160.8	9931.14	9931.14
325.91	1160.7	9873.15	9873.15
326.01	1160.6	9879.71	9879.71
326.11	1160.5	10046.9	10046.9
326.21	1160.4	9939.25	9939.25
326.31	1160.3	9907.25	9907.25
326.41	1160.2	9835.66	9835.66
326.51	1160.1	9934.68	9934.68
326.61	1160	9937.76	9937.76
326.71	1159.9	9883.16	9883.16
326.81	1159.8	9893.74	9893.74
326.91	1159.7	10009.9	10009.9
327.01	1159.6	9903.65	9903.65
327.11	1159.5	9904.86	9904.86
327.21	1159.4	9979.14	9979.14
327.31	1159.3	10065.4	10065.4
327.41	1159.2	9961.03	9961.03
327.51	1159.1	10072.3	10072.3
327.61	1159	10150.7	10150.7
327.71	1158.9	10075	10075
327.81	1158.8	10011.9	10011.9
327.91	1158.7	10122.9	10122.9
328.01	1158.6	10105.1	10105.1
328.11	1158.5	10059.9	10059.9
328.21	1158.4	10087.6	10087.6
328.31	1158.3	9944.59	9944.59
328.41	1158.2	10047.5	10047.5
328.51	1158.1	10156	10156
328.61	1158	10094.6	10094.6
328.71	1157.9	10060.3	10060.3
328.81	1157.8	10025.5	10025.5
328.91	1157.7	10160.3	10160.3
329.01	1157.6	10012.9	10012.9
329.11	1157.5	10174.7	10174.7
329.21	1157.4	10154.3	10154.3
329.31	1157.3	10135	10135
329.41	1157.2	10045.3	10045.3
329.51	1157.1	10071.8	10071.8
329.61	1157	10177	10177
329.71	1156.9	10056	10056
329.81	1156.8	10133.8	10133.8
329.91	1156.7	10249.6	10249.6
330.01	1156.6	10311.2	10311.2
330.11	1156.5	10102.5	10102.5
330.21	1156.4	10189.9	10189.9
330.31	1156.3	10129.1	10129.1
330.41	1156.2	10170.2	10170.2
330.51	1156.1	10299.1	10299.1
330.61	1156	10151.7	10151.7
330.71	1155.9	10172.7	10172.7
330.81	1155.8	10089	10089
330.91	1155.7	10100.5	10100.5
331.01	1155.6	10176.6	10176.6
331.11	1155.5	10131.1	10131.1
331.21	1155.4	9890.81	9890.81
331.31	1155.3	10051.1	10051.1
331.41	1155.2	10367.3	10367.3
331.51	1155.1	10219.1	10219.1
331.61	1155	10206.9	10206.9
331.71	1154.9	10222.2	10222.2
331.81	1154.8	10141.5	10141.5
331.91	1154.7	10058.5	10058.5
332.01	1154.6	10079.1	10079.1
332.11	1154.5	10171.2	10171.2
332.21	1154.4	10187.4	10187.4
332.31	1154.3	10238	10238
