c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	4.35
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
946.926	539.684	728.989
947.026	539.584	734.177
947.126	539.484	740.802
947.226	539.384	743.966
947.326	539.284	741.308
947.426	539.184	720.025
947.526	539.084	718.103
947.626	538.984	737.149
947.725	538.885	741.202
947.825	538.785	725.782
947.925	538.685	718.524
948.025	538.585	728.221
948.125	538.485	722.644
948.225	538.385	731.986
948.325	538.285	716.292
948.425	538.185	726.526
948.525	538.085	719.234
948.625	537.985	702.506
948.724	537.886	720.251
948.824	537.786	721.016
948.924	537.686	731.08
949.024	537.586	723.009
949.124	537.486	700.228
949.224	537.386	709.416
949.324	537.286	703.097
949.424	537.186	703.88
949.524	537.086	720.014
949.623	536.987	725.485
949.723	536.887	725.855
949.823	536.787	710.177
949.923	536.687	709.363
950.023	536.587	717.956
950.123	536.487	711.145
950.223	536.387	721.54
950.323	536.287	714.039
950.423	536.187	714.485
950.523	536.087	734.306
950.622	535.988	724.651
950.722	535.888	716.389
950.822	535.788	714.832
950.922	535.688	709.913
951.022	535.588	690.423
951.122	535.488	703.524
951.222	535.388	730.805
951.322	535.288	727.802
951.422	535.188	710.326
951.522	535.088	735.782
951.621	534.989	731.455
951.721	534.889	721.349
951.821	534.789	728.717
951.921	534.689	734.644
952.021	534.589	723.097
952.121	534.489	721.786
952.221	534.389	716.832
952.321	534.289	730.936
952.421	534.189	728.161
952.52	534.09	733.871
952.62	533.99	746.386
952.72	533.89	742.497
952.82	533.79	728.959
952.92	533.69	741.393
953.02	533.59	740.685
953.12	533.49	747.455
953.22	533.39	746.453
953.32	533.29	760.584
953.42	533.19	779.044
953.519	533.091	773.77
953.619	532.991	782.274
953.719	532.891	811.657
953.819	532.791	782.37
953.919	532.691	800.03
954.019	532.591	802.533
954.119	532.491	820.207
954.219	532.391	826.754
954.319	532.291	816.561
954.418	532.192	841.308
954.518	532.092	841.559
954.618	531.992	862.382
954.718	531.892	873.069
954.818	531.792	899.582
954.918	531.692	907.683
955.018	531.592	922.145
955.118	531.492	930.97
955.218	531.392	937.828
955.318	531.292	938.926
955.417	531.193	933.143
955.517	531.093	903.738
955.617	530.993	869.706
955.717	530.893	835.883
955.817	530.793	825.825
955.917	530.693	802.037
956.017	530.593	771.687
956.117	530.493	764.313
956.217	530.393	740.545
956.317	530.293	707.191
956.416	530.194	709.046
956.516	530.094	710.149
956.616	529.994	702.324
956.716	529.894	674.968
956.816	529.794	688.568
956.916	529.694	672.191
957.016	529.594	682.566
957.116	529.494	693.276
957.216	529.394	697.108
957.315	529.295	704.699
957.415	529.195	687.331
957.515	529.095	677.623
957.615	528.995	690.186
957.715	528.895	685.016
957.815	528.795	671.846
957.915	528.695	684.936
958.015	528.595	684.77
958.115	528.495	678.563
958.215	528.395	686.382
958.314	528.296	671.844
958.414	528.196	685.867
958.514	528.096	674.133
958.614	527.996	684.251
958.714	527.896	670.483
958.814	527.796	688.368
958.914	527.696	669.818
959.014	527.596	671.655
959.114	527.496	670.083
959.213	527.397	678.664
959.313	527.297	703.287
959.413	527.197	701.616
959.513	527.097	691.729
959.613	526.997	683.991
959.713	526.897	672.779
959.813	526.797	674.71
959.913	526.697	666.349
960.013	526.597	674.777
960.113	526.497	702.706
960.212	526.398	685.154
960.312	526.298	680.168
960.412	526.198	694.88
960.512	526.098	682.331
960.612	525.998	674.034
960.712	525.898	670.977
960.812	525.798	678.667
960.912	525.698	694.278
961.012	525.598	725.857
961.112	525.498	706.078
961.211	525.399	684.269
961.311	525.299	684.943
961.411	525.199	680.966
961.511	525.099	691.554
961.611	524.999	680.993
961.711	524.899	681.207
961.811	524.799	686.846
961.911	524.699	684.563
962.011	524.599	677.283
962.11	524.5	692.876
962.21	524.4	679.756
962.31	524.3	672.77
962.41	524.2	673.936
962.51	524.1	655.085
962.61	524	677.766
