c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Cu LMM
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Cu LMM	BE_Cu LMM	CPS_Cu LMM
954.319	532.291	2418.72
954.418	532.192	2508.31
954.518	532.092	2613.44
954.618	531.992	2646.87
954.718	531.892	2696.58
954.818	531.792	2804.09
954.918	531.692	2918.43
955.018	531.592	2990.58
955.118	531.492	3014.9
955.218	531.392	3027.89
955.318	531.292	2983.34
955.417	531.193	2914.87
955.517	531.093	2832.63
955.617	530.993	2692.76
955.717	530.893	2520.8
955.817	530.793	2361.83
955.917	530.693	2172.12
956.017	530.593	2078.13
956.117	530.493	2014.06
956.217	530.393	1865.68
956.317	530.293	1724.98
956.416	530.194	1697.26
956.516	530.094	1689.62
956.616	529.994	1627.22
956.716	529.894	1617.09
956.816	529.794	1584.19
956.916	529.694	1596.05
957.016	529.594	1615.15
957.116	529.494	1578.76
957.216	529.394	1599.39
957.315	529.295	1586.08
957.415	529.195	1588.25
957.515	529.095	1548.71
957.615	528.995	1541.3
957.715	528.895	1563.5
957.815	528.795	1546.8
957.915	528.695	1504.58
958.015	528.595	1537.03
958.115	528.495	1541.12
958.215	528.395	1558.38
958.314	528.296	1541.29
958.414	528.196	1523.29
958.514	528.096	1503.14
958.614	527.996	1554.5
958.714	527.896	1556.57
958.814	527.796	1534.18
958.914	527.696	1565.52
959.014	527.596	1549.12
959.114	527.496	1495.48
959.213	527.397	1534.18
959.313	527.297	1549.24
959.413	527.197	1566.1
959.513	527.097	1576.6
959.613	526.997	1574.45
959.713	526.897	1566.86
959.813	526.797	1558.49
959.913	526.697	1599.84
960.013	526.597	1559.7
960.113	526.497	1546.99
960.212	526.398	1550.97
960.312	526.298	1552.86
960.412	526.198	1537.71
960.512	526.098	1541.17
960.612	525.998	1550.62
960.712	525.898	1571.62
960.812	525.798	1551.55
960.912	525.698	1543.66
961.012	525.598	1546.59
961.112	525.498	1518.49
961.211	525.399	1539.41
961.311	525.299	1538.84
961.411	525.199	1521.28
961.511	525.099	1595.33
961.611	524.999	1585.06
961.711	524.899	1551.99
961.811	524.799	1537.1
961.911	524.699	1537.5
962.011	524.599	1537.07
962.11	524.5	1538.44
962.21	524.4	1546.87
962.31	524.3	1564.15
962.41	524.2	1546.22
962.51	524.1	1523.65
962.61	524	1560.9
