C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
AgMNN
	Characteristic Energy eV	1486.61	Acquisition Time s	2.9
KE_AgMNN	BE_AgMNN	CPS_AgMNN
356.41	1130.2	1385.33
356.51	1130.1	1397.19
356.61	1130	1357.7
356.71	1129.9	1387.89
356.81	1129.8	1359.76
356.91	1129.7	1384.65
357.01	1129.6	1412.26
357.11	1129.5	1412.68
357.21	1129.4	1438.12
357.31	1129.3	1455.63
357.41	1129.2	1477.79
357.51	1129.1	1517.99
357.61	1129	1513.56
357.71	1128.9	1517.64
357.81	1128.8	1528.67
357.91	1128.7	1538.31
358.01	1128.6	1539.61
358.11	1128.5	1488.94
358.21	1128.4	1424.08
358.31	1128.3	1431.24
358.41	1128.2	1408.95
358.51	1128.1	1395.42
358.61	1128	1382.17
358.71	1127.9	1346.07
358.81	1127.8	1337.42
358.91	1127.7	1332.09
359.01	1127.6	1308.27
359.11	1127.5	1305.09
359.21	1127.4	1308.71
359.31	1127.3	1322.95
359.41	1127.2	1279.23
359.51	1127.1	1272.71
359.61	1127	1261.17
359.71	1126.9	1252.88
359.81	1126.8	1236.17
359.91	1126.7	1240.58
360.01	1126.6	1202.86
360.11	1126.5	1221.41
360.21	1126.4	1206.41
360.31	1126.3	1199.29
360.41	1126.2	1203.77
360.51	1126.1	1184.2
360.61	1126	1195.94
360.71	1125.9	1230.49
360.81	1125.8	1209.63
360.91	1125.7	1240.22
361.01	1125.6	1219.8
361.11	1125.5	1215.78
361.21	1125.4	1216.01
361.31	1125.3	1197.02
361.41	1125.2	1210.22
361.51	1125.1	1216.02
361.61	1125	1188.11
361.71	1124.9	1223.73
361.81	1124.8	1233.1
361.91	1124.7	1232.39
362.01	1124.6	1212.51
362.11	1124.5	1182.93
362.21	1124.4	1199.09
362.31	1124.3	1214.83
362.41	1124.2	1212.79
362.51	1124.1	1221.29
362.61	1124	1218.1
362.71	1123.9	1249.11
362.81	1123.8	1230.42
362.91	1123.7	1222.72
363.01	1123.6	1242.17
363.11	1123.5	1242.96
363.21	1123.4	1237.73
363.31	1123.3	1240.66
363.41	1123.2	1201.52
363.51	1123.1	1207.91
363.61	1123	1223.49
