C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX340_CEC356_Ag N2 LargeArea.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	2.8
KE_Ag3p	BE_Ag3p	CPS_Ag3p
773.51	713.1	3887.72
773.61	713	3861.28
773.71	712.9	3933.94
773.81	712.8	3914.76
773.91	712.7	3944.56
774.01	712.6	3894.25
774.11	712.5	3922.98
774.21	712.4	3908.62
774.31	712.3	3826.23
774.41	712.2	3949.05
774.51	712.1	3918.24
774.61	712	3855.77
774.71	711.9	3877.9
774.81	711.8	3899.84
774.91	711.7	3871.04
775.01	711.6	3845.76
775.11	711.5	3836.58
775.21	711.4	3843.04
775.31	711.3	3847.23
775.41	711.2	3861.83
775.51	711.1	3831.09
775.61	711	3895.96
775.71	710.9	3823.85
775.81	710.8	3829.3
775.91	710.7	3854.55
776.01	710.6	3867.88
776.11	710.5	3856.52
776.21	710.4	3848.97
776.31	710.3	3874.43
776.41	710.2	3857.85
776.51	710.1	3807.28
776.61	710	3864.46
776.71	709.9	3839.58
776.81	709.8	3862.51
776.91	709.7	3887.44
777.01	709.6	3814.33
777.11	709.5	3808.14
777.21	709.4	3780.51
777.31	709.3	3836.19
777.41	709.2	3861.01
777.51	709.1	3787.95
777.61	709	3869.51
777.71	708.9	3868.5
777.81	708.8	3845.56
777.91	708.7	3850.41
778.01	708.6	3791.25
778.11	708.5	3873.19
778.21	708.4	3865.3
778.31	708.3	3845.88
778.41	708.2	3855.54
778.51	708.1	3785.67
778.61	708	3885.52
778.71	707.9	3888.17
778.81	707.8	3846.16
778.91	707.7	3835.68
779.01	707.6	3780.56
779.11	707.5	3846.25
779.21	707.4	3844.06
779.31	707.3	3783.95
779.41	707.2	3835.76
779.51	707.1	3850.67
779.61	707	3891.87
779.71	706.9	3880.53
779.81	706.8	3870.79
779.91	706.7	3817.19
780.01	706.6	3817.19
780.11	706.5	3854.78
780.21	706.4	3825.05
780.31	706.3	3864.02
780.41	706.2	3831.32
780.51	706.1	3847.73
780.61	706	3841.21
780.71	705.9	3823.65
780.81	705.8	3822.87
780.91	705.7	3823.3
781.01	705.6	3806.43
781.11	705.5	3829.67
781.21	705.4	3823.03
781.31	705.3	3820.33
781.41	705.2	3806.13
781.51	705.1	3847.88
781.61	705	3852.19
781.71	704.9	3839.81
781.81	704.8	3803.69
781.91	704.7	3875.56
782.01	704.6	3861.17
782.11	704.5	3834.13
782.21	704.4	3865.23
782.31	704.3	3892.29
782.41	704.2	3889.83
782.51	704.1	3842.6
782.61	704	3836.93
782.71	703.9	3874.37
782.81	703.8	3835.37
782.91	703.7	3829.57
783.01	703.6	3866.05
783.11	703.5	3901.64
783.21	703.4	3918.52
