c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_cu n2 largearea.vms
Pr:Cu2s
	Characteristic Energy eV	1486.61	Acquisition Time s	4
KE_Pr:Cu2s	BE_Pr:Cu2s	CPS_Pr:Cu2s
382.81	1103.8	1461.41
382.91	1103.7	1460.61
383.01	1103.6	1545.24
383.11	1103.5	1491.34
383.21	1103.4	1511.03
383.31	1103.3	1553.1
383.41	1103.2	1542.07
383.51	1103.1	1487.32
383.61	1103	1548.13
383.71	1102.9	1532.22
383.81	1102.8	1556.51
383.91	1102.7	1653.88
384.01	1102.6	1712.19
384.11	1102.5	1713.25
384.21	1102.4	1638.65
384.31	1102.3	1692.29
384.41	1102.2	1717.04
384.51	1102.1	1718.42
384.61	1102	1726.75
384.71	1101.9	1780.05
384.81	1101.8	1715.1
384.91	1101.7	1886.14
385.01	1101.6	1819.84
385.11	1101.5	1795.11
385.21	1101.4	1844.4
385.31	1101.3	1970.97
385.41	1101.2	1986.58
385.51	1101.1	2057.89
385.61	1101	2104.76
385.71	1100.9	1978.99
385.81	1100.8	2073.4
385.91	1100.7	2155.36
386.01	1100.6	2169.86
386.11	1100.5	2209.14
386.21	1100.4	2213.07
386.31	1100.3	2306.37
386.41	1100.2	2218.94
386.51	1100.1	2318.91
386.61	1100	2404.33
