c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	1.9
KE_Au4d	BE_Au4d	CPS_Au4d
1102.81	383.8	18318.4
1102.91	383.7	18380.6
1103.01	383.6	18381.5
1103.11	383.5	18273.8
1103.21	383.4	18308.8
1103.31	383.3	18496.4
1103.41	383.2	18501.3
1103.51	383.1	18344.3
1103.61	383	18347
1103.71	382.9	18459.6
1103.81	382.8	18547.8
1103.91	382.7	18398.2
1104.01	382.6	18538.6
1104.11	382.5	18526.5
1104.21	382.4	18545.5
1104.31	382.3	18391.2
1104.41	382.2	18569.1
1104.51	382.1	18353.3
1104.61	382	18441.9
1104.71	381.9	18503.5
1104.81	381.8	18577.8
1104.91	381.7	18524.4
1105.01	381.6	18487.2
1105.11	381.5	18559.4
1105.21	381.4	18660
1105.31	381.3	18565.9
1105.41	381.2	18565.3
1105.51	381.1	18644.1
1105.61	381	18526
1105.71	380.9	18502.3
1105.81	380.8	18527.5
1105.91	380.7	18828.3
1106.01	380.6	18697.9
1106.11	380.5	18603.6
1106.21	380.4	18582.2
1106.31	380.3	18732.1
1106.41	380.2	18688.3
1106.51	380.1	18508.8
1106.61	380	18570.5
1106.71	379.9	18638.5
1106.81	379.8	18652.1
1106.91	379.7	18531.7
1107.01	379.6	18700.2
1107.11	379.5	18692.7
1107.21	379.4	18648.4
1107.31	379.3	18741.6
1107.41	379.2	18789.1
1107.51	379.1	18816.8
1107.61	379	18944.6
1107.71	378.9	18733.3
1107.81	378.8	18817.1
1107.91	378.7	18746.7
1108.01	378.6	18776.4
1108.11	378.5	18703.7
1108.21	378.4	18719.7
1108.31	378.3	18844.7
1108.41	378.2	18812.6
1108.51	378.1	18809.4
1108.61	378	18883.6
1108.71	377.9	18788.9
1108.81	377.8	18890.5
1108.91	377.7	18740.5
1109.01	377.6	18622
1109.11	377.5	18822.2
1109.21	377.4	18832.9
1109.31	377.3	18827.2
1109.41	377.2	18903.1
1109.51	377.1	18798.5
1109.61	377	18797.3
1109.71	376.9	19006.1
1109.81	376.8	18912.3
1109.91	376.7	18776.4
1110.01	376.6	18662.4
1110.11	376.5	18988.9
1110.21	376.4	18986
1110.31	376.3	18785.2
1110.41	376.2	18823.7
1110.51	376.1	18964.1
1110.61	376	19033
1110.71	375.9	18877.7
1110.81	375.8	18761.5
1110.91	375.7	18908.1
1111.01	375.6	18873.2
1111.11	375.5	18873.4
1111.21	375.4	19045.9
1111.31	375.3	18696.3
1111.41	375.2	18820.9
1111.51	375.1	18975.5
1111.61	375	18891.9
1111.71	374.9	18962.4
1111.81	374.8	18740.8
1111.91	374.7	18806.2
1112.01	374.6	19014.5
1112.11	374.5	18824.4
1112.21	374.4	18948.5
1112.31	374.3	18889
1112.41	374.2	19017.8
1112.51	374.1	19245.5
1112.61	374	19023.7
1112.71	373.9	19015.4
1112.81	373.8	18970.8
1112.91	373.7	19054.7
1113.01	373.6	19071.1
1113.11	373.5	19093.4
1113.21	373.4	18995.8
1113.31	373.3	18987.7
1113.41	373.2	19040.7
1113.51	373.1	19000.6
1113.61	373	19036.8
1113.71	372.9	19069.6
1113.81	372.8	19078
1113.91	372.7	19058
1114.01	372.6	19189.1
1114.11	372.5	19119.7
1114.21	372.4	19181
1114.31	372.3	19122.3
1114.41	372.2	19201.1
1114.51	372.1	19149.4
1114.61	372	19123.9
1114.71	371.9	19176.8
1114.81	371.8	19226
