c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	2
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
727.41	759.2	5113.15
727.51	759.1	5124.59
727.61	759	5125.52
727.71	758.9	5122.36
727.81	758.8	4978.59
727.91	758.7	4852.68
728.01	758.6	4889.36
728.11	758.5	4969.25
728.21	758.4	4996.78
728.31	758.3	4953.41
728.41	758.2	4873.3
728.51	758.1	4904.88
728.61	758	4730.37
728.71	757.9	4742.95
728.81	757.8	4749.99
728.91	757.7	4700.47
729.01	757.6	4599.2
729.11	757.5	4620.19
729.21	757.4	4631.22
729.31	757.3	4462.85
729.41	757.2	4548.34
729.51	757.1	4489.42
729.61	757	4544.4
729.71	756.9	4727.99
729.81	756.8	4526.92
729.91	756.7	4408.5
730.01	756.6	4409.38
730.11	756.5	4467.72
730.21	756.4	4430.95
730.31	756.3	4343.43
730.41	756.2	4345.31
730.51	756.1	4349.65
730.61	756	4318.73
730.71	755.9	4283.01
730.81	755.8	4190.59
730.91	755.7	4277.52
731.01	755.6	4179.65
731.11	755.5	4224.99
731.21	755.4	4366.32
731.31	755.3	4276.55
731.41	755.2	4198.43
731.51	755.1	4179.56
731.61	755	4187.99
731.71	754.9	4036.47
731.81	754.8	4156.05
731.91	754.7	4138.98
732.01	754.6	4297.06
732.11	754.5	4169.54
732.21	754.4	3959.22
732.31	754.3	3974.9
732.41	754.2	4131.93
732.51	754.1	4006.71
732.61	754	4024.38
732.71	753.9	4031.81
732.81	753.8	4087.29
732.91	753.7	4071.07
733.01	753.6	3959.6
733.11	753.5	3879.38
733.21	753.4	4064
733.31	753.3	4066.03
733.41	753.2	4043.51
733.51	753.1	3965.29
733.61	753	3984.11
733.71	752.9	3876.69
733.81	752.8	4003.37
733.91	752.7	3936.04
734.01	752.6	3957.97
734.11	752.5	3922.79
734.21	752.4	3880.52
734.31	752.3	3938.15
734.41	752.2	3911.82
734.51	752.1	4076.95
734.61	752	3974.72
734.71	751.9	3865.65
734.81	751.8	3843.97
734.91	751.7	3866.95
735.01	751.6	3953.72
735.11	751.5	3794.34
735.21	751.4	3867.12
735.31	751.3	3938.04
735.41	751.2	3870.41
735.51	751.1	3841.74
735.61	751	3913.46
735.71	750.9	3919.18
735.81	750.8	3881.76
735.91	750.7	3842.53
736.01	750.6	3920.3
736.11	750.5	3916.82
736.21	750.4	3841.99
736.31	750.3	3625.51
736.41	750.2	3830.43
736.51	750.1	3852.86
736.61	750	3797.58
736.71	749.9	3823.4
736.81	749.8	3813.82
736.91	749.7	3715.89
737.01	749.6	3786.71
737.11	749.5	3771.22
737.21	749.4	3797.64
737.31	749.3	3860.21
737.41	749.2	3705.03
737.51	749.1	3681.9
737.61	749	3758.82
737.71	748.9	3674.98
737.81	748.8	3649.55
737.91	748.7	3771.27
738.01	748.6	3744.44
738.11	748.5	3692.25
738.21	748.4	3734.37
738.31	748.3	3739.58
