c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex340_cec356_au n2 largearea.vms
Pr:Au4p
	Characteristic Energy eV	1486.61	Acquisition Time s	3
KE_Pr:Au4p	BE_Pr:Au4p	CPS_Pr:Au4p
724.51	762.1	1536.42
724.61	762	1541.76
724.71	761.9	1549.69
724.81	761.8	1538.26
724.91	761.7	1573.26
725.01	761.6	1573.5
725.11	761.5	1593.7
725.21	761.4	1619.87
725.31	761.3	1536.1
725.41	761.2	1543.54
725.51	761.1	1575.94
725.61	761	1537.38
725.71	760.9	1532.91
725.81	760.8	1519.91
725.91	760.7	1554.91
726.01	760.6	1546.12
726.11	760.5	1483.82
726.21	760.4	1470.45
726.31	760.3	1537.42
726.41	760.2	1546.79
726.51	760.1	1558.82
726.61	760	1568.69
726.71	759.9	1546.12
726.81	759.8	1428.06
726.91	759.7	1443.16
727.01	759.6	1498.79
727.11	759.5	1526.06
727.21	759.4	1449.39
727.31	759.3	1476.46
727.41	759.2	1492.93
727.51	759.1	1443.43
727.61	759	1427.26
727.71	758.9	1439.83
727.81	758.8	1471.86
727.91	758.7	1414.33
728.01	758.6	1462.86
728.11	758.5	1462.73
728.21	758.4	1438.76
728.31	758.3	1493.56
728.41	758.2	1416.16
728.51	758.1	1436.06
728.61	758	1423.86
728.71	757.9	1374.23
728.81	757.8	1385.03
728.91	757.7	1436.69
729.01	757.6	1354.39
729.11	757.5	1370.62
729.21	757.4	1380.12
729.31	757.3	1343.65
729.41	757.2	1463.95
729.51	757.1	1387.55
729.61	757	1376.58
729.71	756.9	1409.25
729.81	756.8	1378.11
729.91	756.7	1366.88
730.01	756.6	1390.51
730.11	756.5	1394.27
730.21	756.4	1370.61
730.31	756.3	1407.9
730.41	756.2	1364.77
730.51	756.1	1350.87
730.61	756	1372.66
730.71	755.9	1366.63
730.81	755.8	1365.33
730.91	755.7	1396.82
731.01	755.6	1395.79
731.11	755.5	1381.25
731.21	755.4	1371.05
731.31	755.3	1302.01
731.41	755.2	1327.41
731.51	755.1	1417.64
731.61	755	1349.67
731.71	754.9	1307.36
731.81	754.8	1332.36
731.91	754.7	1357.86
732.01	754.6	1312.39
732.11	754.5	1359.45
732.21	754.4	1371.91
732.31	754.3	1355.58
732.41	754.2	1340.4
732.51	754.1	1283.57
732.61	754	1306.93
732.71	753.9	1330.66
732.81	753.8	1368.32
732.91	753.7	1346.48
733.01	753.6	1352.25
733.11	753.5	1411.17
733.21	753.4	1331.84
733.31	753.3	1380.1
733.41	753.2	1337.86
733.51	753.1	1284.72
733.61	753	1328.98
733.71	752.9	1326.04
733.81	752.8	1309.24
733.91	752.7	1296.6
734.01	752.6	1338.39
734.11	752.5	1381.75
734.21	752.4	1363.01
734.31	752.3	1315.71
734.41	752.2	1337.97
734.51	752.1	1344.5
734.61	752	1286.76
734.71	751.9	1281.82
734.81	751.8	1362.94
734.91	751.7	1333
735.01	751.6	1285.86
735.11	751.5	1312.56
735.21	751.4	1266.25
735.31	751.3	1326.94
735.41	751.2	1306.03
735.51	751.1	1238.33
735.61	751	1279.75
735.71	750.9	1312.31
735.81	750.8	1278.7
735.91	750.7	1282.4
736.01	750.6	1308.59
736.11	750.5	1273.58
736.21	750.4	1339.97
736.31	750.3	1284.5
736.41	750.2	1328.35
736.51	750.1	1277.55
736.61	750	1268.9
736.71	749.9	1334.2
736.81	749.8	1343.55
736.91	749.7	1319.78
737.01	749.6	1304.3
737.11	749.5	1306.59
737.21	749.4	1305.65
737.31	749.3	1359.04
737.41	749.2	1353.23
737.51	749.1	1351.15
737.61	749	1294.28
737.71	748.9	1225.9
737.81	748.8	1286.92
737.91	748.7	1257.35
738.01	748.6	1291.3
738.11	748.5	1327.99
738.21	748.4	1351.05
738.31	748.3	1334.47
738.41	748.2	1321.26
738.51	748.1	1333.68
738.61	748	1304.64
738.71	747.9	1293.13
738.81	747.8	1301.38
738.91	747.7	1305.34
739.01	747.6	1279.33
739.11	747.5	1271.51
739.21	747.4	1290.13
739.31	747.3	1309.89
739.41	747.2	1341.61
739.51	747.1	1310.26
739.61	747	1338.72
739.71	746.9	1338.61
739.81	746.8	1262.33
739.91	746.7	1206.15
740.01	746.6	1269.77
740.11	746.5	1279.02
740.21	746.4	1330.11
740.31	746.3	1276.36
740.41	746.2	1300.15
740.51	746.1	1323.37
740.61	746	1303.12
740.71	745.9	1279.77
740.81	745.8	1230.73
740.91	745.7	1297.41
741.01	745.6	1310.06
741.11	745.5	1334.22
741.21	745.4	1299.13
741.31	745.3	1308.25
741.41	745.2	1343.04
741.51	745.1	1294.46
741.61	745	1298.74
741.71	744.9	1344.16
741.81	744.8	1347.41
741.91	744.7	1281.43
742.01	744.6	1325.65
742.11	744.5	1329.7
742.21	744.4	1280.85
742.31	744.3	1307.4
742.41	744.2	1322.45
742.51	744.1	1313.43
742.61	744	1260.81
742.71	743.9	1294.76
742.81	743.8	1304.75
742.91	743.7	1265.3
743.01	743.6	1243.18
743.11	743.5	1266.7
743.21	743.4	1292.01
743.31	743.3	1273.26
