C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
965.11	521.5	-82.5443	-82.5443
965.61	521	171.208	171.208
966.11	520.5	327.999	327.999
966.61	520	103.039	103.039
967.11	519.5	-57.5879	-57.5879
967.61	519	-237.746	-237.746
968.11	518.5	-84.9037	-84.9037
968.61	518	127.791	127.791
969.11	517.5	-54.99	-54.99
969.61	517	101.406	101.406
970.11	516.5	41.0671	41.0671
970.61	516	78.3253	78.3253
971.11	515.5	94.0069	94.0069
971.61	515	-67.6827	-67.6827
972.11	514.5	130.621	130.621
972.61	514	79.8512	79.8512
973.11	513.5	-133.596	-133.596
973.61	513	250.224	250.224
974.11	512.5	391.689	391.689
974.61	512	7.50415	7.50415
975.11	511.5	112.392	112.392
975.61	511	27.7524	27.7524
976.11	510.5	233.899	233.899
976.61	510	20.2386	20.2386
977.11	509.5	-48.0852	-48.0852
977.61	509	9.2356	9.2356
978.11	508.5	207.934	207.934
978.61	508	-6.5291	-6.5291
979.11	507.5	-54.3098	-54.3098
979.61	507	125.322	125.322
980.11	506.5	-77.1309	-77.1309
980.61	506	28.8113	28.8113
981.11	505.5	65.2855	65.2855
981.61	505	151.121	151.121
982.11	504.5	-58.8175	-58.8175
982.61	504	-80.8694	-80.8694
983.11	503.5	-30.1389	-30.1389
983.61	503	82.0869	82.0869
984.11	502.5	271.208	271.208
984.61	502	264.444	264.444
985.11	501.5	128.959	128.959
985.61	501	30.7418	30.7418
986.11	500.5	47.5481	47.5481
986.61	500	225.889	225.889
987.11	499.5	75.3213	75.3213
987.61	499	-173.531	-173.531
988.11	498.5	-11.3287	-11.3287
