C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Au4d
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Au4d	BE_Au4d	CPS_Au4d	Background_Au4d
1199.61	287	942.994	942.994
1200.11	286.5	1168	1168
1200.61	286	1501.74	1501.74
1201.11	285.5	1575.46	1575.46
1201.61	285	2087.78	2087.78
1202.11	284.5	2404.08	2404.08
1202.61	284	2531.32	2531.32
1203.11	283.5	1959.78	1959.78
1203.61	283	1206.37	1206.37
1204.11	282.5	461.014	461.014
1204.61	282	-18.7724	-18.7724
1205.11	281.5	6.40756	6.40756
1205.61	281	96.8699	96.8699
1206.11	280.5	256.013	256.013
1206.61	280	236.605	236.605
1207.11	279.5	31.7371	31.7371
1207.61	279	-106.036	-106.036
1208.11	278.5	206.751	206.751
1208.61	278	272.194	272.194
1209.11	277.5	-85.1077	-85.1077
1209.61	277	19.6247	19.6247
1210.11	276.5	356.999	356.999
1210.61	276	94.2951	94.2951
1211.11	275.5	334.571	334.571
1211.61	275	11.5688	11.5688
1212.11	274.5	309.528	309.528
1212.61	274	161.6	161.6
1213.11	273.5	204.295	204.295
1213.61	273	115.901	115.901
1214.11	272.5	66.5965	66.5965
1214.61	272	31.8741	31.8741
1215.11	271.5	331.231	331.231
1215.61	271	-26.9228	-26.9228
1216.11	270.5	188.306	188.306
1216.61	270	277.787	277.787
1217.11	269.5	238.664	238.664
1217.61	269	35.8046	35.8046
1218.11	268.5	256.151	256.151
1218.61	268	384.626	384.626
1219.11	267.5	180.062	180.062
1219.61	267	431.897	431.897
1220.11	266.5	404.468	404.468
1220.61	266	498.987	498.987
1221.11	265.5	338.555	338.555
1221.61	265	103.923	103.923
1222.11	264.5	135.871	135.871
1222.61	264	472.456	472.456
1223.11	263.5	233.914	233.914
1223.61	263	80.7172	80.7172
1224.11	262.5	183.049	183.049
1224.61	262	348.114	348.114
