C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1230.11	256.5	2394.48	2394.48
1230.61	256	2426.44	2426.44
1231.11	255.5	2431.03	2431.03
1231.61	255	2437.69	2437.69
1232.11	254.5	2444.6	2444.6
1232.61	254	2451.03	2451.03
1233.11	253.5	2462.94	2462.94
1233.61	253	2439.75	2439.75
1234.11	252.5	2433.22	2433.22
1234.61	252	2431.54	2431.54
1235.11	251.5	2436.73	2436.73
1235.61	251	2425.1	2425.1
1236.11	250.5	2456.1	2456.1
1236.61	250	2449.5	2449.5
1237.11	249.5	2454.37	2454.37
1237.61	249	2476.87	2476.87
1238.11	248.5	2458.29	2458.29
1238.61	248	2470.01	2470.01
1239.11	247.5	2440.64	2440.64
1239.61	247	2451.93	2451.93
1240.11	246.5	2464.6	2464.6
1240.61	246	2480.23	2480.23
1241.11	245.5	2509.92	2509.92
1241.61	245	2511.3	2511.3
1242.11	244.5	2520.63	2520.63
1242.61	244	2570.64	2570.64
1243.11	243.5	2582.16	2582.16
1243.61	243	2613.56	2613.56
1244.11	242.5	2605.28	2605.28
1244.61	242	2633.28	2633.28
1245.11	241.5	2634.96	2634.96
1245.61	241	2612.3	2612.3
1246.11	240.5	2563.96	2563.96
1246.61	240	2497.36	2497.36
1247.11	239.5	2475.75	2475.75
1247.61	239	2482.35	2482.35
1248.11	238.5	2473.72	2473.72
1248.61	238	2471.25	2471.25
1249.11	237.5	2487.78	2487.78
1249.61	237	2502.24	2502.24
1250.11	236.5	2478.13	2478.13
1250.61	236	2509.38	2509.38
1251.11	235.5	2485.98	2485.98
1251.61	235	2482.66	2482.66
1252.11	234.5	2495.3	2495.3
1252.61	234	2525.9	2525.9
1253.11	233.5	2520.85	2520.85
1253.61	233	2535.28	2535.28
1254.11	232.5	2532.91	2532.91
1254.61	232	2541.83	2541.83
1255.11	231.5	2553.3	2553.3
1255.61	231	2518.85	2518.85
1256.11	230.5	2524.17	2524.17
1256.61	230	2534.68	2534.68
1257.11	229.5	2527.83	2527.83
1257.61	229	2527.58	2527.58
1258.11	228.5	2522.36	2522.36
1258.61	228	2535.11	2535.11
1259.11	227.5	2556.45	2556.45
1259.61	227	2535.4	2535.4
1260.11	226.5	2552.34	2552.34
1260.61	226	2543.31	2543.31
1261.11	225.5	2550.02	2550.02
1261.61	225	2554.45	2554.45
1262.11	224.5	2564.96	2564.96
1262.61	224	2556.48	2556.48
1263.11	223.5	2581.83	2581.83
1263.61	223	2567.66	2567.66
1264.11	222.5	2564.6	2564.6
1264.61	222	2593.54	2593.54
1265.11	221.5	2584.15	2584.15
1265.61	221	2575.77	2575.77
1266.11	220.5	2578.63	2578.63
1266.61	220	2614.79	2614.79
1267.11	219.5	2586.44	2586.44
1267.61	219	2568.22	2568.22
1268.11	218.5	2574.08	2574.08
1268.61	218	2578.61	2578.61
1269.11	217.5	2596.13	2596.13
1269.61	217	2608.89	2608.89
1270.11	216.5	2600.43	2600.43
1270.61	216	2610.98	2610.98
1271.11	215.5	2614.57	2614.57
1271.61	215	2622.4	2622.4
1272.11	214.5	2602.62	2602.62
1272.61	214	2622.17	2622.17
1273.11	213.5	2611.21	2611.21
1273.61	213	2592.34	2592.34
1274.11	212.5	2602.88	2602.88
1274.61	212	2614.02	2614.02
1275.11	211.5	2617.07	2617.07
1275.61	211	2634.94	2634.94
1276.11	210.5	2641.2	2641.2
1276.61	210	2637.99	2637.99
1277.11	209.5	2649.86	2649.86
1277.61	209	2659.58	2659.58
1278.11	208.5	2665.14	2665.14
1278.61	208	2661.92	2661.92
1279.11	207.5	2640	2640
1279.61	207	2643.71	2643.71
1280.11	206.5	2674.02	2674.02
1280.61	206	2660.1	2660.1
1281.11	205.5	2648.72	2648.72
1281.61	205	2669.17	2669.17
1282.11	204.5	2667.23	2667.23
1282.61	204	2669.91	2669.91
1283.11	203.5	2690.36	2690.36
1283.61	203	2688.29	2688.29
