C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Survey
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Survey	BE_Pr:Survey	CPS_Pr:Survey	Background_Pr:Survey
1264.11	222.5	723.066	723.066
1264.61	222	722.518	722.518
1265.11	221.5	721.04	721.04
1265.61	221	724.171	724.171
1266.11	220.5	730.155	730.155
1266.61	220	728.398	728.398
1267.11	219.5	737.396	737.396
1267.61	219	738.912	738.912
1268.11	218.5	727.935	727.935
1268.61	218	743.391	743.391
1269.11	217.5	726.942	726.942
1269.61	217	727.857	727.857
1270.11	216.5	728.5	728.5
1270.61	216	725.941	725.941
1271.11	215.5	741.913	741.913
1271.61	215	731.978	731.978
1272.11	214.5	741.325	741.325
1272.61	214	731.536	731.536
1273.11	213.5	733.669	733.669
1273.61	213	744.219	744.219
1274.11	212.5	734.131	734.131
1274.61	212	734.452	734.452
1275.11	211.5	742.174	742.174
1275.61	211	744.282	744.282
1276.11	210.5	753.29	753.29
1276.61	210	758.49	758.49
1277.11	209.5	743.7	743.7
1277.61	209	753.931	753.931
1278.11	208.5	751.729	751.729
1278.61	208	749.305	749.305
1279.11	207.5	759.954	759.954
1279.61	207	762.733	762.733
1280.11	206.5	753.936	753.936
1280.61	206	759.672	759.672
1281.11	205.5	752.312	752.312
1281.61	205	757.221	757.221
1282.11	204.5	751.285	751.285
1282.61	204	768.659	768.659
1283.11	203.5	770.796	770.796
1283.61	203	766.494	766.494
1284.11	202.5	767.181	767.181
1284.61	202	770.421	770.421
1285.11	201.5	775.133	775.133
1285.61	201	776.442	776.442
1286.11	200.5	770.347	770.347
1286.61	200	778.913	778.913
1287.11	199.5	775.806	775.806
1287.61	199	771.759	771.759
1288.11	198.5	762.673	762.673
1288.61	198	786.062	786.062
1289.11	197.5	785.902	785.902
1289.61	197	780.336	780.336
1290.11	196.5	776.681	776.681
1290.61	196	772.157	772.157
1291.11	195.5	794.007	794.007
1291.61	195	777.607	777.607
1292.11	194.5	774.964	774.964
1292.61	194	782.527	782.527
1293.11	193.5	779.911	779.911
1293.61	193	780.946	780.946
1294.11	192.5	790.028	790.028
1294.61	192	788.898	788.898
1295.11	191.5	782.132	782.132
1295.61	191	802.785	802.785
1296.11	190.5	802.022	802.022
1296.61	190	808.154	808.154
1297.11	189.5	790.638	790.638
1297.61	189	773.502	773.502
1298.11	188.5	781.418	781.418
1298.61	188	803.04	803.04
1299.11	187.5	801.97	801.97
1299.61	187	801.215	801.215
1300.11	186.5	805.567	805.567
1300.61	186	792.439	792.439
1301.11	185.5	790.3	790.3
1301.61	185	796.566	796.566
1302.11	184.5	804.135	804.135
1302.61	184	801.652	801.652
1303.11	183.5	795.614	795.614
1303.61	183	805.374	805.374
1304.11	182.5	809.999	809.999
1304.61	182	809.222	809.222
1305.11	181.5	806.341	806.341
1305.61	181	814.246	814.246
1306.11	180.5	815.861	815.861
1306.61	180	819.299	819.299
1307.11	179.5	813.307	813.307
1307.61	179	806.861	806.861
1308.11	178.5	815.408	815.408
1308.61	178	809.683	809.683
1309.11	177.5	808.789	808.789
1309.61	177	816.977	816.977
1310.11	176.5	808.583	808.583
1310.61	176	805.627	805.627
1311.11	175.5	814.5	814.5
1311.61	175	829.677	829.677
1312.11	174.5	818.905	818.905
1312.61	174	809.588	809.588
1313.11	173.5	821.506	821.506
1313.61	173	827.16	827.16
1314.11	172.5	828.924	828.924
1314.61	172	827.227	827.227
