C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2_clean.vms
Ag3p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.1
KE_Ag3p	BE_Ag3p	CPS_Ag3p	Background_Ag3p
945.61	541	2423.41	2423.41
946.11	540.5	2631.41	2631.41
946.61	540	2413.14	2413.14
947.11	539.5	2247.19	2247.19
947.61	539	2619.08	2619.08
948.11	538.5	2242.35	2242.35
948.61	538	2222.88	2222.88
949.11	537.5	2076.3	2076.3
949.61	537	1919.08	1919.08
950.11	536.5	2124.1	2124.1
950.61	536	2184.15	2184.15
951.11	535.5	2394.72	2394.72
951.61	535	2469.03	2469.03
952.11	534.5	3002.29	3002.29
952.61	534	3208.78	3208.78
953.11	533.5	3324.25	3324.25
953.61	533	4289.73	4289.73
954.11	532.5	5555.04	5555.04
954.61	532	7726.55	7726.55
955.11	531.5	11356	11356
955.61	531	14189	14189
956.11	530.5	14981.3	14981.3
956.61	530	12579.7	12579.7
957.11	529.5	8512.63	8512.63
957.61	529	4730.2	4730.2
958.11	528.5	2078.68	2078.68
958.61	528	1318.68	1318.68
959.11	527.5	1041.5	1041.5
959.61	527	1211.7	1211.7
960.11	526.5	1137.62	1137.62
960.61	526	1084.93	1084.93
961.11	525.5	878.121	878.121
961.61	525	865.971	865.971
962.11	524.5	851.788	851.788
962.61	524	582.911	582.911
963.11	523.5	647.415	647.415
963.61	523	513.213	513.213
964.11	522.5	545.011	545.011
964.61	522	854.044	854.044
965.11	521.5	1239.88	1239.88
965.61	521	836.456	836.456
966.11	520.5	1028.62	1028.62
966.61	520	604.732	604.732
967.11	519.5	403.565	403.565
967.61	519	430.958	430.958
968.11	518.5	388.624	388.624
968.61	518	710.024	710.024
969.11	517.5	902.127	902.127
969.61	517	739.713	739.713
970.11	516.5	621.763	621.763
970.61	516	540.235	540.235
971.11	515.5	745.911	745.911
971.61	515	430.732	430.732
972.11	514.5	537.922	537.922
972.61	514	950.458	950.458
973.11	513.5	543.111	543.111
973.61	513	562.144	562.144
974.11	512.5	783.081	783.081
974.61	512	717.401	717.401
975.11	511.5	668.808	668.808
975.61	511	788.666	788.666
976.11	510.5	792.252	792.252
976.61	510	324.539	324.539
977.11	509.5	209.398	209.398
977.61	509	731.775	731.775
978.11	508.5	482.32	482.32
978.61	508	468.123	468.123
979.11	507.5	678.404	678.404
979.61	507	350.997	350.997
980.11	506.5	891.579	891.579
980.61	506	646.497	646.497
981.11	505.5	437.097	437.097
981.61	505	931.675	931.675
982.11	504.5	308.963	308.963
982.61	504	552.599	552.599
983.11	503.5	512.305	512.305
983.61	503	333.782	333.782
984.11	502.5	191.004	191.004
984.61	502	84.9704	84.9704
985.11	501.5	63.0359	63.0359
985.61	501	206.779	206.779
986.11	500.5	199.075	199.075
986.61	500	349.079	349.079
987.11	499.5	327.648	327.648
987.61	499	346.357	346.357
988.11	498.5	253.348	253.348
