c:\users\mark\owncloud\muelheim group\projects\gas phase background\au in n2 300um nozzle\20180228 au gas phase background in n2 - au4f.vms			
Counts per Second			
	Characteristic Energy eV	1486.61	1
KE_Counts per Second	BE_Counts per Second	CPS_Counts per Second	
1364.01	122.6	1091.5	
1364.06	122.55	1123.94	
1364.11	122.5	1120.53	
1364.16	122.45	1125.07	
1364.21	122.4	1120.95	
1364.26	122.35	1120.22	
1364.31	122.3	1120.64	
1364.36	122.25	1129.27	
1364.41	122.2	1098.86	
1364.46	122.15	1098.66	
1364.51	122.1	1135.26	
1364.56	122.05	1106.41	
1364.61	122	1104.45	
1364.66	121.95	1118.7	
1364.71	121.9	1108.79	
1364.76	121.85	1108	
1364.81	121.8	1108.58	
1364.86	121.75	1121.48	
1364.91	121.7	1098.04	
1364.96	121.65	1103.02	
1365.01	121.6	1117.83	
1365.06	121.55	1114.54	
1365.11	121.5	1108.31	
1365.16	121.45	1107.43	
1365.21	121.4	1124.69	
1365.26	121.35	1104.76	
1365.31	121.3	1104.39	
1365.36	121.25	1098.32	
1365.41	121.2	1105.19	
1365.46	121.15	1077.28	
1365.51	121.1	1117.29	
1365.56	121.05	1108.66	
1365.61	121	1136.53	
1365.66	120.95	1113.33	
1365.71	120.9	1093.68	
1365.76	120.85	1098.32	
1365.81	120.8	1113.99	
1365.86	120.75	1095.39	
1365.91	120.7	1119.21	
1365.96	120.65	1115.48	
1366.01	120.6	1128.7	
1366.06	120.55	1099.82	
1366.11	120.5	1090.09	
1366.16	120.45	1096.89	
1366.21	120.4	1109.49	
1366.26	120.35	1113.39	
1366.31	120.3	1107.78	
1366.36	120.25	1104.1	
1366.41	120.2	1094.01	
1366.46	120.15	1117.96	
1366.51	120.1	1125.43	
1366.56	120.05	1122.19	
1366.61	120	1147.72	
1366.66	119.95	1148.6	
1366.71	119.9	1114.76	
1366.76	119.85	1102.54	
1366.81	119.8	1086.33	
1366.86	119.75	1131.66	
1366.91	119.7	1111.39	
1366.96	119.65	1117.24	
1367.01	119.6	1092.5	
1367.06	119.55	1092.26	
1367.11	119.5	1106.79	
1367.16	119.45	1114.59	
1367.21	119.4	1141.63	
1367.26	119.35	1128.99	
1367.31	119.3	1117.72	
1367.36	119.25	1126.88	
1367.41	119.2	1125.53	
1367.46	119.15	1122.21	
1367.51	119.1	1112.82	
1367.56	119.05	1131.81	
1367.61	119	1134.69	
1367.66	118.95	1110.52	
1367.71	118.9	1105.03	
1367.76	118.85	1098.1	
1367.81	118.8	1085.32	
1367.86	118.75	1091.37	
1367.91	118.7	1121.31	
1367.96	118.65	1109.7	
1368.01	118.6	1115.81	
1368.06	118.55	1103.77	
1368.11	118.5	1103	
1368.16	118.45	1091.41	
1368.21	118.4	1122.93	
1368.26	118.35	1115.6	
1368.31	118.3	1130.06	
1368.36	118.25	1103.19	
1368.41	118.2	1109.63	
1368.46	118.15	1119.49	
1368.51	118.1	1112.06	
1368.56	118.05	1132.23	
1368.61	118	1135.03	
1368.66	117.95	1128.86	
1368.71	117.9	1099.28	
1368.76	117.85	1113.35	
1368.81	117.8	1104.23	
1368.86	117.75	1100.05	
1368.91	117.7	1120.77	
1368.96	117.65	1127.56	
1369.01	117.6	1120.84	
1369.06	117.55	1085.07	
1369.11	117.5	1112.25	
1369.16	117.45	1107.73	
1369.21	117.4	1111.21	
1369.26	117.35	1113.56	
1369.31	117.3	1114.16	
1369.36	117.25	1126.2	
1369.41	117.2	1091.96	
1369.46	117.15	1134.79	
1369.51	117.1	1116.31	
1369.56	117.05	1117.37	
1369.61	117	1125.22	
1369.66	116.95	1116.62	
1369.71	116.9	1088.42	
1369.76	116.85	1106.44	
1369.81	116.8	1107.28	
1369.86	116.75	1140.17	
1369.91	116.7	1118.9	
1369.96	116.65	1100.71	
1370.01	116.6	1109.6	
1370.06	116.55	1105.93	
1370.11	116.5	1117.86	
1370.16	116.45	1106.15	
1370.21	116.4	1097.4	
1370.26	116.35	1120.07	
1370.31	116.3	1138.41	
1370.36	116.25	1130.15	
1370.41	116.2	1111.22	
1370.46	116.15	1114.51	
1370.51	116.1	1110.15	
1370.56	116.05	1120.8	
1370.61	116	1120.79	
1370.66	115.95	1110.42	
1370.71	115.9	1119.7	
1370.76	115.85	1115.28	
1370.81	115.8	1116.18	
1370.86	115.75	1086.81	
1370.91	115.7	1123.93	
1370.96	115.65	1098.7	
1371.01	115.6	1109.27	
1371.06	115.55	1104.52	
1371.11	115.5	1120.71	
1371.16	115.45	1140.42	
1371.21	115.4	1120.38	
1371.26	115.35	1134.28	
1371.31	115.3	1133.13	
1371.36	115.25	1131.66	
1371.41	115.2	1121.62	
1371.46	115.15	1131.53	
1371.51	115.1	1130.25	
1371.56	115.05	1144.3	
1371.61	115	1138.76	
1371.66	114.95	1118.81	
1371.71	114.9	1129.76	
1371.76	114.85	1107.29	
1371.81	114.8	1131.71	
1371.86	114.75	1139.24	
1371.91	114.7	1135.55	
1371.96	114.65	1154.21	
1372.01	114.6	1139.45	
1372.06	114.55	1126.76	
1372.11	114.5	1131.47	
