c:\users\mark\owncloud\muelheim group\projects\gas phase background\co in o2 300um nozzle\co3o4_ino2_ivac.vms				
Co2p				
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Co2p	BE_Co2p	CPS_Co2p		
723.41	763.2	535.052		
723.71	762.9	539.152		
724.01	762.6	552.207		
724.31	762.3	515.737		
724.61	762	494.806		
724.91	761.7	557.243		
725.21	761.4	519.444		
725.51	761.1	514.852		
725.81	760.8	550.681		
726.11	760.5	549.584		
726.41	760.2	512.821		
726.71	759.9	558.224		
727.01	759.6	503.548		
727.31	759.3	497.565		
727.61	759	503.081		
727.91	758.7	495.947		
728.21	758.4	527.548		
728.51	758.1	497.948		
728.81	757.8	518.457		
729.11	757.5	485.937		
729.41	757.2	487.235		
729.71	756.9	500.103		
730.01	756.6	462.79		
730.31	756.3	440.947		
730.61	756	502.265		
730.91	755.7	492.043		
731.21	755.4	469.571		
731.51	755.1	471.717		
731.81	754.8	475.626		
732.11	754.5	442.094		
732.41	754.2	458.274		
732.71	753.9	433.473		
733.01	753.6	474.607		
733.31	753.3	441.578		
733.61	753	453.516		
733.91	752.7	472.133		
734.21	752.4	435.266		
734.51	752.1	450.123		
734.81	751.8	427.803		
735.11	751.5	482.089		
735.41	751.2	438.579		
735.71	750.9	441.943		
736.01	750.6	424.099		
736.31	750.3	447.761		
736.61	750	452.978		
