C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1377.51	109.1	4003.7
1377.61	109	4005.12
1377.71	108.9	3995.84
1377.81	108.8	4008.11
1377.91	108.7	3978.58
1378.01	108.6	3991.11
1378.11	108.5	4015.49
1378.21	108.4	3998.85
1378.31	108.3	3979.03
1378.41	108.2	3948.81
1378.51	108.1	3969.14
1378.61	108	3937.12
1378.71	107.9	3935.35
1378.81	107.8	3908.21
1378.91	107.7	3933.35
1379.01	107.6	3911.98
1379.11	107.5	3946.79
1379.21	107.4	3905.87
1379.31	107.3	3890.97
1379.41	107.2	3866.75
1379.51	107.1	3842.04
1379.61	107	3808.61
1379.71	106.9	3816.45
1379.81	106.8	3821.09
1379.91	106.7	3816.32
1380.01	106.6	3809.54
1380.11	106.5	3787.57
1380.21	106.4	3810.12
1380.31	106.3	3798.95
1380.41	106.2	3777.93
1380.51	106.1	3757.86
1380.61	106	3770.9
1380.71	105.9	3746.13
1380.81	105.8	3776.49
1380.91	105.7	3745.53
1381.01	105.6	3751.96
1381.11	105.5	3731.02
1381.21	105.4	3753.53
1381.31	105.3	3760.94
1381.41	105.2	3723.61
1381.51	105.1	3708.49
1381.61	105	3699.64
1381.71	104.9	3733.33
1381.81	104.8	3707.16
1381.91	104.7	3729.86
1382.01	104.6	3783.33
1382.11	104.5	3687.46
1382.21	104.4	3650.75
1382.31	104.3	3647.44
1382.41	104.2	3730.65
1382.51	104.1	3704.11
1382.61	104	3696.68
1382.71	103.9	3726.71
1382.81	103.8	3724.85
1382.91	103.7	3741.21
1383.01	103.6	3675.6
1383.11	103.5	3684.65
1383.21	103.4	3712.13
1383.31	103.3	3650.28
1383.41	103.2	3719.3
1383.51	103.1	3692.89
1383.61	103	3717.89
1383.71	102.9	3684.38
1383.81	102.8	3667.17
1383.91	102.7	3687.38
1384.01	102.6	3682.78
1384.11	102.5	3691.22
1384.21	102.4	3672.6
1384.31	102.3	3682.25
1384.41	102.2	3717.81
1384.51	102.1	3674
1384.61	102	3691.8
1384.71	101.9	3686.86
1384.81	101.8	3676.5
1384.91	101.7	3675.9
1385.01	101.6	3670.32
1385.11	101.5	3689.23
1385.21	101.4	3712.04
1385.31	101.3	3667.13
1385.41	101.2	3703.51
1385.51	101.1	3719.54
1385.61	101	3714.44
1385.71	100.9	3717.16
1385.81	100.8	3723.25
1385.91	100.7	3759.38
1386.01	100.6	3743.19
1386.11	100.5	3751.03
1386.21	100.4	3731.96
1386.31	100.3	3701.22
1386.41	100.2	3712.85
1386.51	100.1	3745.83
1386.61	100	3741.55
1386.71	99.9	3744.33
1386.81	99.8	3734.82
1386.91	99.7	3705.69
1387.01	99.6	3701.75
1387.11	99.5	3704.4
1387.21	99.4	3765.69
1387.31	99.3	3718.43
1387.41	99.2	3735.32
1387.51	99.1	3751
1387.61	99	3727.43
1387.71	98.9	3688.57
1387.81	98.8	3720.62
1387.91	98.7	3730.03
1388.01	98.6	3720.22
1388.11	98.5	3727.9
1388.21	98.4	3736.08
1388.31	98.3	3744.48
1388.41	98.2	3697.22
1388.51	98.1	3723.89
1388.61	98	3714.53
1388.71	97.9	3701.81
1388.81	97.8	3740.45
1388.91	97.7	3705.71
1389.01	97.6	3696.62
1389.11	97.5	3715.53
1389.21	97.4	3709.58
1389.31	97.3	3669.76
1389.41	97.2	3659.66
1389.51	97.1	3670.04
1389.61	97	3626.99
1389.71	96.9	3586.43
1389.81	96.8	3606.13
1389.91	96.7	3564.23
1390.01	96.6	3611.3
1390.11	96.5	3549.67
1390.21	96.4	3540.66
1390.31	96.3	3499.88
1390.41	96.2	3509.12
1390.51	96.1	3514.61
1390.61	96	3506.68
1390.71	95.9	3501.03
1390.81	95.8	3452.88
1390.91	95.7	3514.91
1391.01	95.6	3540.84
1391.11	95.5	3541.33
1391.21	95.4	3560.17
1391.31	95.3	3549.83
1391.41	95.2	3551.56
1391.51	95.1	3522.34
1391.61	95	3559.42
1391.71	94.9	3599.23
1391.81	94.8	3559.44
1391.91	94.7	3551.24
1392.01	94.6	3567.93
1392.11	94.5	3577.68
1392.21	94.4	3596.65
1392.31	94.3	3620.63
1392.41	94.2	3607.88
1392.51	94.1	3613.02
1392.61	94	3600.07
1392.71	93.9	3575.58
1392.81	93.8	3634.37
1392.91	93.7	3622.67
1393.01	93.6	3610.74
1393.11	93.5	3567.73
1393.21	93.4	3509.91
1393.31	93.3	3598.29
1393.41	93.2	3543.05
1393.51	93.1	3522.23
1393.61	93	3512.44
1393.71	92.9	3465.97
1393.81	92.8	3481.81
1393.91	92.7	3455.66
1394.01	92.6	3468.18
1394.11	92.5	3447.35
1394.21	92.4	3411.02
1394.31	92.3	3444.27
1394.41	92.2	3449.08
1394.51	92.1	3496.12
1394.61	92	3455.98
1394.71	91.9	3452.77
1394.81	91.8	3496.19
1394.91	91.7	3545.52
