C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Ag3d
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Ag3d	BE_Pr:Ag3d	CPS_Pr:Ag3d
1127.91	358.7	194.343
1128.01	358.6	196.228
1128.11	358.5	190.855
1128.21	358.4	194.919
1128.31	358.3	192.114
1128.41	358.2	190.868
1128.51	358.1	196.139
1128.61	358	199.985
1128.71	357.9	196.203
1128.81	357.8	192.676
1128.91	357.7	194.754
1129.01	357.6	197.797
1129.11	357.5	194.402
1129.21	357.4	195.162
1129.31	357.3	197.759
1129.41	357.2	196.023
1129.51	357.1	201.751
1129.61	357	197.59
1129.71	356.9	191.891
1129.81	356.8	195.399
1129.91	356.7	198.769
1130.01	356.6	194.434
1130.11	356.5	192.574
1130.21	356.4	194.894
1130.31	356.3	192.049
1130.41	356.2	196.128
1130.51	356.1	190.357
1130.61	356	191.119
1130.71	355.9	190.552
1130.81	355.8	187.854
1130.91	355.7	191.73
1131.01	355.6	193.279
1131.11	355.5	197.435
1131.21	355.4	195.323
1131.31	355.3	200.976
1131.41	355.2	192.614
1131.51	355.1	192.492
1131.61	355	194.54
1131.71	354.9	192.742
1131.81	354.8	199.703
1131.91	354.7	197.554
1132.01	354.6	194.763
1132.11	354.5	192.957
1132.21	354.4	193.131
1132.31	354.3	192.503
1132.41	354.2	197.92
1132.51	354.1	197.066
1132.61	354	193.957
1132.71	353.9	192.61
1132.81	353.8	194.42
1132.91	353.7	190.635
1133.01	353.6	199.912
1133.11	353.5	201.402
1133.21	353.4	196.425
1133.31	353.3	201.523
1133.41	353.2	195.418
1133.51	353.1	194.525
1133.61	353	192.471
1133.71	352.9	190.822
1133.81	352.8	191.372
1133.91	352.7	191.772
1134.01	352.6	197.659
1134.11	352.5	197.329
1134.21	352.4	195.43
1134.31	352.3	197.959
1134.41	352.2	195.015
1134.51	352.1	199.593
1134.61	352	198.185
1134.71	351.9	195.466
1134.81	351.8	195.704
1134.91	351.7	197.576
1135.01	351.6	195.938
1135.11	351.5	197.91
1135.21	351.4	202.139
1135.31	351.3	193.157
1135.41	351.2	196.332
1135.51	351.1	195.787
1135.61	351	191.206
1135.71	350.9	193.432
1135.81	350.8	199.373
1135.91	350.7	199.177
1136.01	350.6	195.224
1136.11	350.5	190.667
1136.21	350.4	197.813
1136.31	350.3	201.006
1136.41	350.2	195.251
1136.51	350.1	197.945
1136.61	350	200.601
