C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
492.21	994.4	2230.37	2230.37
492.31	994.3	2236.17	2236.17
492.41	994.2	2222.78	2222.78
492.51	994.1	2207.96	2207.96
492.61	994	2229.1	2229.1
492.71	993.9	2223.77	2223.77
492.81	993.8	2211.52	2211.52
492.91	993.7	2223.94	2223.94
493.01	993.6	2225.55	2225.55
493.11	993.5	2254.99	2254.99
493.21	993.4	2256.72	2256.72
493.31	993.3	2215.84	2215.84
493.41	993.2	2242.36	2242.36
493.51	993.1	2282.63	2282.63
493.61	993	2278.19	2278.19
493.71	992.9	2200.51	2200.51
493.81	992.8	2242.64	2242.64
493.91	992.7	2309.42	2309.42
494.01	992.6	2325.97	2325.97
494.11	992.5	2283.63	2283.63
494.21	992.4	2274.93	2274.93
494.31	992.3	2205.35	2205.35
494.41	992.2	2204.77	2204.77
494.51	992.1	2254.03	2254.03
494.61	992	2279.36	2279.36
494.71	991.9	2248.09	2248.09
494.81	991.8	2234.41	2234.41
494.91	991.7	2275.49	2275.49
495.01	991.6	2311.31	2311.31
495.11	991.5	2287.5	2287.5
495.21	991.4	2252.35	2252.35
495.31	991.3	2235.73	2235.73
495.41	991.2	2279.82	2279.82
495.51	991.1	2320.47	2320.47
495.61	991	2320.72	2320.72
495.71	990.9	2279.69	2279.69
495.81	990.8	2294.49	2294.49
495.91	990.7	2316.62	2316.62
496.01	990.6	2294.06	2294.06
496.11	990.5	2298.23	2298.23
496.21	990.4	2345.89	2345.89
496.31	990.3	2333.66	2333.66
496.41	990.2	2326.36	2326.36
496.51	990.1	2334.15	2334.15
496.61	990	2305.83	2305.83
496.71	989.9	2296.6	2296.6
496.81	989.8	2327.18	2327.18
496.91	989.7	2272.69	2272.69
497.01	989.6	2264.27	2264.27
497.11	989.5	2277.59	2277.59
497.21	989.4	2283.78	2283.78
497.31	989.3	2309.89	2309.89
497.41	989.2	2257.83	2257.83
497.51	989.1	2302.8	2302.8
497.61	989	2286.49	2286.49
497.71	988.9	2282.59	2282.59
497.81	988.8	2222.74	2222.74
497.91	988.7	2199.73	2199.73
498.01	988.6	2227.29	2227.29
498.11	988.5	2220.81	2220.81
498.21	988.4	2247.88	2247.88
498.31	988.3	2268.74	2268.74
498.41	988.2	2289.28	2289.28
498.51	988.1	2259.64	2259.64
498.61	988	2269.06	2269.06
498.71	987.9	2288.38	2288.38
498.81	987.8	2284.55	2284.55
498.91	987.7	2268.78	2268.78
499.01	987.6	2231.96	2231.96
499.11	987.5	2293.39	2293.39
499.21	987.4	2320.6	2320.6
499.31	987.3	2277.04	2277.04
499.41	987.2	2284.99	2284.99
499.51	987.1	2321.63	2321.63
499.61	987	2344.94	2344.94
499.71	986.9	2297.09	2297.09
499.81	986.8	2281.93	2281.93
499.91	986.7	2323.9	2323.9
500.01	986.6	2315.96	2315.96
500.11	986.5	2314.61	2314.61
500.21	986.4	2329.7	2329.7
500.31	986.3	2274.87	2274.87
500.41	986.2	2281.94	2281.94
500.51	986.1	2276.96	2276.96
500.61	986	2269.18	2269.18
500.71	985.9	2338.09	2338.09
500.81	985.8	2349.15	2349.15
500.91	985.7	2317.82	2317.82
501.01	985.6	2270.35	2270.35
501.11	985.5	2280.58	2280.58
501.21	985.4	2300.07	2300.07
501.31	985.3	2308.46	2308.46
501.41	985.2	2345.71	2345.71
501.51	985.1	2283.72	2283.72
501.61	985	2292.99	2292.99
501.71	984.9	2271	2271
501.81	984.8	2305.68	2305.68
501.91	984.7	2292.54	2292.54
502.01	984.6	2251.54	2251.54
502.11	984.5	2256.58	2256.58
502.21	984.4	2248.87	2248.87
502.31	984.3	2229.93	2229.93
502.41	984.2	2267.94	2267.94
502.51	984.1	2257	2257
502.61	984	2248.43	2248.43
502.71	983.9	2226.87	2226.87
502.81	983.8	2223.2	2223.2
502.91	983.7	2206.59	2206.59
503.01	983.6	2261.37	2261.37
503.11	983.5	2258.17	2258.17
503.21	983.4	2240.9	2240.9
503.31	983.3	2270.52	2270.52
503.41	983.2	2260.15	2260.15
503.51	983.1	2227.3	2227.3
503.61	983	2282.91	2282.91
503.71	982.9	2281.88	2281.88
503.81	982.8	2309.88	2309.88
503.91	982.7	2348.87	2348.87
504.01	982.6	2303.8	2303.8
504.11	982.5	2291.67	2291.67
504.21	982.4	2324.28	2324.28
504.31	982.3	2334.33	2334.33
504.41	982.2	2351.93	2351.93
504.51	982.1	2339.22	2339.22
504.61	982	2312.83	2312.83
504.71	981.9	2356.59	2356.59
504.81	981.8	2371.18	2371.18
504.91	981.7	2385.15	2385.15
505.01	981.6	2430.39	2430.39
505.11	981.5	2418.56	2418.56
505.21	981.4	2359.39	2359.39
505.31	981.3	2321.34	2321.34
505.41	981.2	2432.07	2432.07
505.51	981.1	2380.8	2380.8
505.61	981	2337.33	2337.33
505.71	980.9	2277.36	2277.36
505.81	980.8	2259.1	2259.1
505.91	980.7	2302.74	2302.74
506.01	980.6	2340.78	2340.78
506.11	980.5	2313.13	2313.13
506.21	980.4	2327.7	2327.7
506.31	980.3	2360.64	2360.64
506.41	980.2	2330.78	2330.78
