C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
511.81	974.8	206133	206133
511.91	974.7	207125	207125
512.01	974.6	206498	206498
512.11	974.5	207763	207763
512.21	974.4	206905	206905
512.31	974.3	207785	207785
512.41	974.2	208179	208179
512.51	974.1	208312	208312
512.61	974	207023	207023
512.71	973.9	207388	207388
512.81	973.8	207900	207900
512.91	973.7	207696	207696
513.01	973.6	207173	207173
513.11	973.5	206746	206746
513.21	973.4	207751	207751
513.31	973.3	207129	207129
513.41	973.2	207877	207877
513.51	973.1	208200	208200
513.61	973	208299	208299
513.71	972.9	207629	207629
513.81	972.8	208690	208690
513.91	972.7	207278	207278
514.01	972.6	207588	207588
514.11	972.5	207459	207459
514.21	972.4	208004	208004
514.31	972.3	208061	208061
514.41	972.2	207755	207755
514.51	972.1	207310	207310
514.61	972	207374	207374
514.71	971.9	207587	207587
514.81	971.8	207421	207421
514.91	971.7	208731	208731
515.01	971.6	208670	208670
515.11	971.5	207717	207717
515.21	971.4	208260	208260
515.31	971.3	209299	209299
515.41	971.2	208162	208162
515.51	971.1	208667	208667
515.61	971	207863	207863
515.71	970.9	207750	207750
515.81	970.8	208313	208313
515.91	970.7	208274	208274
516.01	970.6	208553	208553
516.11	970.5	208338	208338
516.21	970.4	208897	208897
516.31	970.3	208732	208732
516.41	970.2	209007	209007
516.51	970.1	207983	207983
516.61	970	209331	209331
516.71	969.9	208729	208729
516.81	969.8	208723	208723
516.91	969.7	208539	208539
517.01	969.6	208582	208582
517.11	969.5	207913	207913
517.21	969.4	209409	209409
517.31	969.3	210093	210093
517.41	969.2	209894	209894
517.51	969.1	208687	208687
517.61	969	208082	208082
517.71	968.9	207832	207832
517.81	968.8	208161	208161
517.91	968.7	208440	208440
518.01	968.6	208346	208346
518.11	968.5	208543	208543
518.21	968.4	209280	209280
518.31	968.3	209544	209544
518.41	968.2	207773	207773
518.51	968.1	207562	207562
518.61	968	206779	206779
518.71	967.9	208086	208086
518.81	967.8	208335	208335
518.91	967.7	208576	208576
519.01	967.6	207386	207386
519.11	967.5	207519	207519
519.21	967.4	207586	207586
519.31	967.3	207403	207403
519.41	967.2	207657	207657
519.51	967.1	208380	208380
519.61	967	208041	208041
519.71	966.9	208874	208874
519.81	966.8	207973	207973
519.91	966.7	209615	209615
520.01	966.6	209867	209867
520.11	966.5	210505	210505
520.21	966.4	210318	210318
520.31	966.3	209747	209747
520.41	966.2	210485	210485
520.51	966.1	211007	211007
520.61	966	211596	211596
520.71	965.9	211936	211936
520.81	965.8	211303	211303
520.91	965.7	211994	211994
521.01	965.6	211476	211476
521.11	965.5	211374	211374
521.21	965.4	211389	211389
521.31	965.3	212031	212031
521.41	965.2	212249	212249
521.51	965.1	212271	212271
521.61	965	212394	212394
521.71	964.9	214277	214277
521.81	964.8	213347	213347
521.91	964.7	213244	213244
522.01	964.6	213831	213831
522.11	964.5	213222	213222
522.21	964.4	213816	213816
522.31	964.3	213498	213498
522.41	964.2	212881	212881
522.51	964.1	212702	212702
522.61	964	211792	211792
522.71	963.9	210682	210682
522.81	963.8	209046	209046
522.91	963.7	208615	208615
523.01	963.6	208530	208530
523.11	963.5	207572	207572
523.21	963.4	207568	207568
523.31	963.3	206408	206408
523.41	963.2	207257	207257
523.51	963.1	206531	206531
523.61	963	205254	205254
523.71	962.9	204018	204018
523.81	962.8	204413	204413
523.91	962.7	203710	203710
524.01	962.6	203966	203966
524.11	962.5	203536	203536
524.21	962.4	203837	203837
524.31	962.3	203051	203051
524.41	962.2	203285	203285
524.51	962.1	202039	202039
524.61	962	201994	201994
524.71	961.9	201825	201825
524.81	961.8	201160	201160
524.91	961.7	200928	200928
525.01	961.6	201940	201940
525.11	961.5	201624	201624
525.21	961.4	200842	200842
525.31	961.3	200523	200523
525.41	961.2	201608	201608
525.51	961.1	201729	201729
525.61	961	200591	200591
525.71	960.9	202114	202114
525.81	960.8	202617	202617
525.91	960.7	201474	201474
526.01	960.6	201612	201612
526.11	960.5	200825	200825
526.21	960.4	201857	201857
526.31	960.3	201506	201506
526.41	960.2	201817	201817
526.51	960.1	202345	202345
526.61	960	203477	203477
526.71	959.9	202789	202789
526.81	959.8	203000	203000
526.91	959.7	202924	202924
527.01	959.6	202218	202218
527.11	959.5	203593	203593
527.21	959.4	203955	203955
527.31	959.3	204666	204666
527.41	959.2	204536	204536
527.51	959.1	204231	204231
527.61	959	203984	203984
527.71	958.9	203484	203484
527.81	958.8	203405	203405
527.91	958.7	202942	202942
528.01	958.6	204446	204446
528.11	958.5	204073	204073
528.21	958.4	205069	205069
528.31	958.3	204752	204752
528.41	958.2	204508	204508
528.51	958.1	206130	206130
528.61	958	205154	205154
528.71	957.9	205259	205259
528.81	957.8	205872	205872
528.91	957.7	206451	206451
529.01	957.6	206279	206279
529.11	957.5	208207	208207
529.21	957.4	208411	208411
529.31	957.3	209052	209052
529.41	957.2	208468	208468
529.51	957.1	209192	209192
529.61	957	208962	208962
529.71	956.9	209774	209774
529.81	956.8	210059	210059
529.91	956.7	211177	211177
530.01	956.6	211497	211497
530.11	956.5	212165	212165
530.21	956.4	213277	213277
530.31	956.3	213788	213788
530.41	956.2	213671	213671
530.51	956.1	214908	214908
530.61	956	216748	216748
530.71	955.9	216396	216396
530.81	955.8	216599	216599
530.91	955.7	219073	219073
531.01	955.6	219464	219464
531.11	955.5	220070	220070
531.21	955.4	221188	221188
531.31	955.3	222530	222530
531.41	955.2	224154	224154
531.51	955.1	224828	224828
531.61	955	226026	226026
531.71	954.9	229885	229885
531.81	954.8	232786	232786
531.91	954.7	235022	235022
532.01	954.6	237921	237921
532.11	954.5	240775	240775
532.21	954.4	244543	244543
532.31	954.3	250031	250031
532.41	954.2	256589	256589
532.51	954.1	262734	262734
532.61	954	270065	270065
