C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Au4f
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Au4f	BE_Pr:Au4f	CPS_Pr:Au4f
1402.31	84.3	3823.39
1402.41	84.2	4716.1
1402.51	84.1	5440.55
1402.61	84	5855.41
1402.71	83.9	5779.47
1402.81	83.8	5290.59
1402.91	83.7	4501.99
1403.01	83.6	3566.34
1403.11	83.5	2662.3
1403.21	83.4	1999.5
1403.31	83.3	1468.15
1403.41	83.2	1098
1403.51	83.1	838.853
1403.61	83	671.379
1403.71	82.9	563.101
1403.81	82.8	474.922
1403.91	82.7	426.687
1404.01	82.6	387.329
1404.11	82.5	352.919
1404.21	82.4	337.354
1404.31	82.3	322.199
1404.41	82.2	312.955
1404.51	82.1	296.455
1404.61	82	287.786
1404.71	81.9	273.563
1404.81	81.8	276.074
1404.91	81.7	258.915
1405.01	81.6	260.934
1405.11	81.5	250.73
1405.21	81.4	247.308
1405.31	81.3	241.127
1405.41	81.2	244.924
1405.51	81.1	233.548
1405.61	81	228.396
1405.71	80.9	228.657
1405.81	80.8	228.485
1405.91	80.7	224.012
1406.01	80.6	222.922
1406.11	80.5	219.73
1406.21	80.4	215.026
1406.31	80.3	216.669
1406.41	80.2	216.552
1406.51	80.1	221.258
1406.61	80	213.403
1406.71	79.9	212.807
1406.81	79.8	207.391
1406.91	79.7	212.467
1407.01	79.6	204.294
1407.11	79.5	210.225
1407.21	79.4	205.03
1407.31	79.3	211.069
1407.41	79.2	205.295
1407.51	79.1	201.421
1407.61	79	201.47
1407.71	78.9	195.968
1407.81	78.8	204.969
1407.91	78.7	200.284
1408.01	78.6	204.803
1408.11	78.5	200.748
1408.21	78.4	204.442
1408.31	78.3	200.874
1408.41	78.2	208.487
1408.51	78.1	206.401
1408.61	78	202.07
1408.71	77.9	204.812
1408.81	77.8	203.069
1408.91	77.7	195.606
1409.01	77.6	200.914
1409.11	77.5	203.285
1409.21	77.4	203.775
1409.31	77.3	195.729
1409.41	77.2	197.441
1409.51	77.1	206.183
1409.61	77	198.839
1409.71	76.9	206.209
1409.81	76.8	204.316
1409.91	76.7	200.236
1410.01	76.6	207.105
1410.11	76.5	200.963
1410.21	76.4	203.189
1410.31	76.3	199.964
1410.41	76.2	200.994
1410.51	76.1	208.714
1410.61	76	208.134
1410.71	75.9	203.592
1410.81	75.8	203.651
1410.91	75.7	205.442
1411.01	75.6	208.391
1411.11	75.5	208.29
1411.21	75.4	202.993
1411.31	75.3	207.702
1411.41	75.2	201.876
1411.51	75.1	205.88
1411.61	75	210.645
