c:\users\mark\owncloud\muelheim group\projects\gas phase background\ex391_cec356_o2 test without sample 1.vms
O1s
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_O1s	BE_O1s	CPS_O1s	Background_O1s
579.11	907.5	0.988829	0.988829
579.21	907.4	0.756398	0.756398
579.31	907.3	1.18969	1.18969
579.41	907.2	0.927114	0.927114
579.51	907.1	1.33537	1.33537
579.61	907	1.4037	1.4037
579.71	906.9	0.78607	0.78607
579.81	906.8	0.90051	0.90051
579.91	906.7	0.92857	0.92857
580.01	906.6	0.945716	0.945716
580.11	906.5	1.02518	1.02518
580.21	906.4	1.05201	1.05201
580.31	906.3	1.42471	1.42471
580.41	906.2	1.21297	1.21297
580.51	906.1	0.924181	0.924181
580.61	906	0.921822	0.921822
580.71	905.9	0.879653	0.879653
580.81	905.8	0.970501	0.970501
580.91	905.7	0.95174	0.95174
581.01	905.6	1.1915	1.1915
581.11	905.5	1.0424	1.0424
581.21	905.4	1.18087	1.18087
581.31	905.3	0.89764	0.89764
581.41	905.2	0.725469	0.725469
581.51	905.1	1.23638	1.23638
581.61	905	1.08879	1.08879
581.71	904.9	1.29726	1.29726
581.81	904.8	0.80456	0.80456
581.91	904.7	0.920473	0.920473
582.01	904.6	1.50551	1.50551
582.11	904.5	1.18483	1.18483
582.21	904.4	1.02445	1.02445
582.31	904.3	0.87035	0.87035
582.41	904.2	1.06543	1.06543
582.51	904.1	0.939913	0.939913
582.61	904	0.81497	0.81497
582.71	903.9	0.868524	0.868524
582.81	903.8	1.21153	1.21153
582.91	903.7	0.891173	0.891173
583.01	903.6	1.10401	1.10401
583.11	903.5	0.8628	0.8628
583.21	903.4	0.710122	0.710122
583.31	903.3	0.836261	0.836261
583.41	903.2	0.624289	0.624289
583.51	903.1	1.14066	1.14066
583.61	903	1.27978	1.27978
583.71	902.9	1.25453	1.25453
583.81	902.8	1.59401	1.59401
583.91	902.7	1.28334	1.28334
584.01	902.6	1.16868	1.16868
584.11	902.5	0.867579	0.867579
584.21	902.4	0.896082	0.896082
584.31	902.3	0.713243	0.713243
584.41	902.2	0.609952	0.609952
584.51	902.1	1.10335	1.10335
584.61	902	1.00541	1.00541
584.71	901.9	0.990065	0.990065
584.81	901.8	0.927401	0.927401
584.91	901.7	0.730889	0.730889
585.01	901.6	1.30244	1.30244
585.11	901.5	1.31063	1.31063
585.21	901.4	0.906613	0.906613
585.31	901.3	1.30544	1.30544
585.41	901.2	1.2498	1.2498
585.51	901.1	1.34155	1.34155
585.61	901	1.00329	1.00329
585.71	900.9	0.918235	0.918235
585.81	900.8	0.972317	0.972317
585.91	900.7	1.00394	1.00394
586.01	900.6	1.36559	1.36559
