C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
509.51	977.1	13174.7
509.61	977	13193.1
509.71	976.9	13159.7
509.81	976.8	13189.9
509.91	976.7	13233.1
510.01	976.6	13209.5
510.11	976.5	13253.5
510.21	976.4	13294.7
510.31	976.3	13295.1
510.41	976.2	13356.5
510.51	976.1	13334.9
510.61	976	13316.8
510.71	975.9	13405.3
510.81	975.8	13480.5
510.91	975.7	13452.3
511.01	975.6	13441.6
511.11	975.5	13509.1
511.21	975.4	13574.5
511.31	975.3	13587
511.41	975.2	13648.3
511.51	975.1	13661.6
511.61	975	13680.7
511.71	974.9	13682.3
511.81	974.8	13732.9
511.91	974.7	13740.1
512.01	974.6	13712.8
512.11	974.5	13688.7
512.21	974.4	13744.1
512.31	974.3	13708.1
512.41	974.2	13691.1
512.51	974.1	13667.7
512.61	974	13653.8
512.71	973.9	13666.7
512.81	973.8	13627.7
512.91	973.7	13609.5
513.01	973.6	13568.7
513.11	973.5	13577.6
513.21	973.4	13525.2
513.31	973.3	13528.4
513.41	973.2	13393.8
513.51	973.1	13389.6
513.61	973	13363.7
513.71	972.9	13418.9
513.81	972.8	13363.6
513.91	972.7	13394.7
514.01	972.6	13291.4
514.11	972.5	13274.9
514.21	972.4	13294.3
514.31	972.3	13270
514.41	972.2	13242.4
514.51	972.1	13207.2
514.61	972	13180.5
514.71	971.9	13106.7
514.81	971.8	13177.9
514.91	971.7	13161.3
515.01	971.6	13141.5
515.11	971.5	13109
515.21	971.4	13095.8
515.31	971.3	13144.9
515.41	971.2	13078.9
515.51	971.1	13134.8
515.61	971	13076.1
515.71	970.9	13117.3
515.81	970.8	13014.7
515.91	970.7	12998.8
516.01	970.6	12979.6
516.11	970.5	13000.3
516.21	970.4	13013.8
516.31	970.3	13002.3
516.41	970.2	12969.4
516.51	970.1	12926.4
516.61	970	12926.8
516.71	969.9	12929.8
516.81	969.8	12957
516.91	969.7	12947.1
517.01	969.6	12887.5
517.11	969.5	12888.3
517.21	969.4	12915
517.31	969.3	12916.3
517.41	969.2	12887.4
517.51	969.1	12831.3
517.61	969	12835.1
517.71	968.9	12842
517.81	968.8	12869.1
517.91	968.7	12869.3
518.01	968.6	12839.9
518.11	968.5	12775.9
518.21	968.4	12852.8
518.31	968.3	12798
518.41	968.2	12775
518.51	968.1	12751.9
518.61	968	12811.8
518.71	967.9	12781
518.81	967.8	12829.6
518.91	967.7	12813.4
519.01	967.6	12844.9
519.11	967.5	12890.2
519.21	967.4	12857.5
519.31	967.3	12744
519.41	967.2	12768.3
519.51	967.1	12778.5
519.61	967	12782.5
519.71	966.9	12831.4
519.81	966.8	12867.8
519.91	966.7	12836.1
520.01	966.6	12893.8
520.11	966.5	12928.2
520.21	966.4	12963.8
520.31	966.3	12976.8
520.41	966.2	12981.3
520.51	966.1	12965
520.61	966	13009.4
520.71	965.9	13043.8
520.81	965.8	13065.1
520.91	965.7	13083.3
521.01	965.6	13050
521.11	965.5	13075.1
521.21	965.4	13132.6
521.31	965.3	13152.3
521.41	965.2	13144.6
521.51	965.1	13184.4
521.61	965	13202.8
521.71	964.9	13208.1
521.81	964.8	13204.1
521.91	964.7	13191.9
522.01	964.6	13145.5
522.11	964.5	13177.5
522.21	964.4	13174.8
522.31	964.3	13170.8
522.41	964.2	13134.3
522.51	964.1	13159.8
522.61	964	13183.7
522.71	963.9	13183.8
522.81	963.8	13243.3
522.91	963.7	13252.9
523.01	963.6	13273.2
523.11	963.5	13345.9
523.21	963.4	13417.6
523.31	963.3	13425.4
523.41	963.2	13497.2
523.51	963.1	13564.3
523.61	963	13634
523.71	962.9	13730.3
523.81	962.8	13812.4
523.91	962.7	13880.7
524.01	962.6	13928.7
524.11	962.5	13998.1
524.21	962.4	14075.3
524.31	962.3	14078.4
524.41	962.2	14084.4
524.51	962.1	14135.7
524.61	962	14124.3
524.71	961.9	14020.3
524.81	961.8	13986.5
524.91	961.7	13948.9
525.01	961.6	13830.8
525.11	961.5	13766.8
525.21	961.4	13697.6
525.31	961.3	13596.5
525.41	961.2	13503.9
525.51	961.1	13426.9
525.61	961	13328.5
525.71	960.9	13275.6
525.81	960.8	13169.9
525.91	960.7	13110.4
526.01	960.6	13084.4
526.11	960.5	12977.3
526.21	960.4	12897.8
526.31	960.3	12850.6
526.41	960.2	12751
526.51	960.1	12698.7
526.61	960	12651
526.71	959.9	12492.2
526.81	959.8	12456.4
526.91	959.7	12442.7
527.01	959.6	12346
527.11	959.5	12394.2
527.21	959.4	12418.4
527.31	959.3	12334.9
527.41	959.2	12338.8
527.51	959.1	12276.2
527.61	959	12224.9
527.71	958.9	12237.7
527.81	958.8	12252.5
527.91	958.7	12156
528.01	958.6	12174.9
528.11	958.5	12251.9
528.21	958.4	12170.7
528.31	958.3	12170.5
528.41	958.2	12208
528.51	958.1	12283.1
528.61	958	12260.8
528.71	957.9	12260.2
528.81	957.8	12313.3
528.91	957.7	12312.8
529.01	957.6	12280.3
529.11	957.5	12298.5
529.21	957.4	12364.6
529.31	957.3	12354.3
529.41	957.2	12389.5
529.51	957.1	12401.5
529.61	957	12420
529.71	956.9	12459.8
529.81	956.8	12502.4
529.91	956.7	12550.9
530.01	956.6	12555
530.11	956.5	12538.1
530.21	956.4	12606.2
530.31	956.3	12731.1
530.41	956.2	12739.3
530.51	956.1	12803.8
530.61	956	12887.9
530.71	955.9	12920.5
530.81	955.8	13028.5
530.91	955.7	13089.1
531.01	955.6	13180.9
531.11	955.5	13318.6
531.21	955.4	13402.8
531.31	955.3	13488.7
531.41	955.2	13599.1
531.51	955.1	13712.7
531.61	955	13771
531.71	954.9	13868.3
531.81	954.8	13977.3
531.91	954.7	14125.5
532.01	954.6	14251.2
532.11	954.5	14366.4
532.21	954.4	14579.9
532.31	954.3	14673.4
532.41	954.2	14830.4
532.51	954.1	15028.5
532.61	954	15174.4
532.71	953.9	15428.8
532.81	953.8	15667.4
532.91	953.7	15967.4
533.01	953.6	16329.1
533.11	953.5	16768.8
533.21	953.4	17176.1
533.31	953.3	17757.9
533.41	953.2	18432.6
533.51	953.1	19302.5
533.61	953	20121.9
533.71	952.9	21120.1
533.81	952.8	22110.2
533.91	952.7	23176
534.01	952.6	23998.9
534.11	952.5	24539.4
534.21	952.4	24854.7
534.31	952.3	24871.2
534.41	952.2	24432.5
534.51	952.1	23638.9
534.61	952	22686
534.71	951.9	21585
534.81	951.8	20238.3
534.91	951.7	19019.7
535.01	951.6	17857.2
535.11	951.5	16906.5
535.21	951.4	15974.6
535.31	951.3	15202.5
