C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
533.51	953.1	329088	329088
533.61	953	348578	348578
533.71	952.9	368392	368392
533.81	952.8	389158	389158
533.91	952.7	407479	407479
534.01	952.6	419344	419344
534.11	952.5	424410	424410
534.21	952.4	424337	424337
534.31	952.3	416860	416860
534.41	952.2	401584	401584
534.51	952.1	381495	381495
534.61	952	359466	359466
534.71	951.9	335998	335998
534.81	951.8	313002	313002
534.91	951.7	290877	290877
535.01	951.6	271444	271444
535.11	951.5	255308	255308
535.21	951.4	240720	240720
535.31	951.3	227743	227743
535.41	951.2	218107	218107
535.51	951.1	209493	209493
535.61	951	203011	203011
535.71	950.9	196513	196513
535.81	950.8	191021	191021
535.91	950.7	186946	186946
536.01	950.6	182926	182926
536.11	950.5	179687	179687
536.21	950.4	176813	176813
536.31	950.3	174407	174407
536.41	950.2	172139	172139
536.51	950.1	169844	169844
536.61	950	168502	168502
536.71	949.9	166695	166695
536.81	949.8	165150	165150
536.91	949.7	163607	163607
537.01	949.6	161611	161611
537.11	949.5	160517	160517
537.21	949.4	159534	159534
537.31	949.3	157814	157814
537.41	949.2	156828	156828
537.51	949.1	155702	155702
537.61	949	154893	154893
537.71	948.9	154282	154282
537.81	948.8	154459	154459
537.91	948.7	153571	153571
538.01	948.6	152935	152935
538.11	948.5	153133	153133
538.21	948.4	153103	153103
538.31	948.3	152920	152920
538.41	948.2	151949	151949
538.51	948.1	150989	150989
538.61	948	150876	150876
538.71	947.9	150449	150449
538.81	947.8	151541	151541
538.91	947.7	151598	151598
539.01	947.6	151116	151116
539.11	947.5	151116	151116
539.21	947.4	150901	150901
539.31	947.3	149933	149933
539.41	947.2	150061	150061
539.51	947.1	150679	150679
539.61	947	150235	150235
539.71	946.9	150500	150500
539.81	946.8	150527	150527
539.91	946.7	150480	150480
540.01	946.6	151132	151132
540.11	946.5	150948	150948
540.21	946.4	150130	150130
540.31	946.3	149989	149989
540.41	946.2	150566	150566
540.51	946.1	149680	149680
540.61	946	150241	150241
540.71	945.9	149927	149927
540.81	945.8	148799	148799
540.91	945.7	148653	148653
541.01	945.6	147438	147438
541.11	945.5	147150	147150
541.21	945.4	146056	146056
541.31	945.3	144978	144978
541.41	945.2	144640	144640
541.51	945.1	143848	143848
541.61	945	143886	143886
541.71	944.9	143321	143321
541.81	944.8	143481	143481
541.91	944.7	143316	143316
542.01	944.6	143513	143513
542.11	944.5	142854	142854
542.21	944.4	142589	142589
542.31	944.3	141976	141976
542.41	944.2	141686	141686
542.51	944.1	141234	141234
542.61	944	140880	140880
542.71	943.9	141084	141084
542.81	943.8	140886	140886
542.91	943.7	140214	140214
543.01	943.6	139838	139838
543.11	943.5	139230	139230
543.21	943.4	139255	139255
543.31	943.3	138987	138987
543.41	943.2	138268	138268
543.51	943.1	137747	137747
543.61	943	137954	137954
543.71	942.9	137053	137053
543.81	942.8	136102	136102
543.91	942.7	136035	136035
544.01	942.6	135578	135578
544.11	942.5	134896	134896
544.21	942.4	133256	133256
544.31	942.3	132756	132756
544.41	942.2	132267	132267
544.51	942.1	131258	131258
544.61	942	130890	130890
544.71	941.9	131023	131023
544.81	941.8	129397	129397
544.91	941.7	127694	127694
545.01	941.6	127805	127805
545.11	941.5	127299	127299
545.21	941.4	126522	126522
545.31	941.3	126253	126253
545.41	941.2	126050	126050
545.51	941.1	125975	125975
545.61	941	125618	125618
545.71	940.9	125662	125662
545.81	940.8	126028	126028
545.91	940.7	125212	125212
546.01	940.6	124921	124921
546.11	940.5	124990	124990
546.21	940.4	125064	125064
546.31	940.3	125247	125247
546.41	940.2	126056	126056
