C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX321_CEC356_Au Ag and Cu in O2.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	1
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p
539.91	946.7	2282.04
540.01	946.6	2273.4
540.11	946.5	2321.1
540.21	946.4	2301.95
540.31	946.3	2279.44
540.41	946.2	2293.74
540.51	946.1	2275.7
540.61	946	2295.88
540.71	945.9	2303.43
540.81	945.8	2282.52
540.91	945.7	2276.61
541.01	945.6	2261.88
541.11	945.5	2249.51
541.21	945.4	2271.35
541.31	945.3	2269.11
541.41	945.2	2274.17
541.51	945.1	2239.72
541.61	945	2256
541.71	944.9	2270.16
541.81	944.8	2255.06
541.91	944.7	2274.46
542.01	944.6	2274.1
542.11	944.5	2293.64
542.21	944.4	2268.4
542.31	944.3	2303.8
542.41	944.2	2308.46
542.51	944.1	2284.24
542.61	944	2341.9
542.71	943.9	2340.21
542.81	943.8	2337.94
542.91	943.7	2350.8
543.01	943.6	2367.26
543.11	943.5	2357.46
543.21	943.4	2373.48
543.31	943.3	2354.22
543.41	943.2	2334.35
543.51	943.1	2338.21
543.61	943	2302.29
543.71	942.9	2327.9
543.81	942.8	2324.25
543.91	942.7	2322.95
544.01	942.6	2313.78
544.11	942.5	2316.02
544.21	942.4	2295.24
544.31	942.3	2301.38
544.41	942.2	2333.54
544.51	942.1	2347.99
544.61	942	2356.21
544.71	941.9	2345.76
544.81	941.8	2339.05
544.91	941.7	2353.31
545.01	941.6	2361.9
545.11	941.5	2412.22
545.21	941.4	2418.97
545.31	941.3	2443.46
545.41	941.2	2454.34
545.51	941.1	2456.9
545.61	941	2424.31
545.71	940.9	2418.33
545.81	940.8	2436.74
545.91	940.7	2436.49
546.01	940.6	2426.35
546.11	940.5	2406.7
546.21	940.4	2414
546.31	940.3	2345.34
546.41	940.2	2324.1
546.51	940.1	2300.23
546.61	940	2281.03
546.71	939.9	2248.77
546.81	939.8	2231.31
546.91	939.7	2203.27
547.01	939.6	2192.51
547.11	939.5	2168.96
547.21	939.4	2132.91
547.31	939.3	2137.96
547.41	939.2	2106.87
547.51	939.1	2088.03
547.61	939	2078.45
547.71	938.9	2077.55
547.81	938.8	2086.11
547.91	938.7	2082.12
548.01	938.6	2061.73
548.11	938.5	2083.87
548.21	938.4	2074.96
548.31	938.3	2061.88
548.41	938.2	2074.44
548.51	938.1	2088.24
548.61	938	2063.59
548.71	937.9	2068.23
548.81	937.8	2076.14
548.91	937.7	2061.8
549.01	937.6	2070.54
549.11	937.5	2053.11
549.21	937.4	2086.07
549.31	937.3	2092.73
549.41	937.2	2130.71
549.51	937.1	2109.98
549.61	937	2139.87
549.71	936.9	2106
549.81	936.8	2112.26
549.91	936.7	2129.78
550.01	936.6	2134.71
550.11	936.5	2147.82
550.21	936.4	2133.45
550.31	936.3	2127.53
550.41	936.2	2184.88
550.51	936.1	2163.3
550.61	936	2165.08
550.71	935.9	2201.79
550.81	935.8	2217.03
550.91	935.7	2238.27
551.01	935.6	2263.5
551.11	935.5	2280.93
551.21	935.4	2292.13
551.31	935.3	2308.99
551.41	935.2	2335.52
551.51	935.1	2339.76
551.61	935	2369.65
551.71	934.9	2376.99
551.81	934.8	2351.26
551.91	934.7	2383.63
552.01	934.6	2444.95
552.11	934.5	2457.02
552.21	934.4	2479.3
552.31	934.3	2509.24
552.41	934.2	2585.04
552.51	934.1	2589.4
552.61	934	2602.15
552.71	933.9	2631.37
552.81	933.8	2708.91
552.91	933.7	2765.41
553.01	933.6	2866.12
553.11	933.5	2964.5
553.21	933.4	3096.27
553.31	933.3	3320.33
553.41	933.2	3531.91
553.51	933.1	3865.05
553.61	933	4233.16
553.71	932.9	4638.57
553.81	932.8	4927.3
553.91	932.7	5269.04
554.01	932.6	5441.07
554.11	932.5	5426.82
554.21	932.4	5270.41
554.31	932.3	5072.41
554.41	932.2	4676.33
554.51	932.1	4292.58
554.61	932	3911.27
554.71	931.9	3482.42
554.81	931.8	3203.1
554.91	931.7	2931.72
555.01	931.6	2700.49
555.11	931.5	2522.71
555.21	931.4	2413.95
555.31	931.3	2315.5
555.41	931.2	2182.5
555.51	931.1	2143.48
555.61	931	2086.72
555.71	930.9	2034.52
555.81	930.8	2001.35
555.91	930.7	1973.87
556.01	930.6	1961.95
556.11	930.5	1969.75
556.21	930.4	1925.42
556.31	930.3	1909.02
556.41	930.2	1908.99
556.51	930.1	1913.65
556.61	930	1887.52
556.71	929.9	1872.5
556.81	929.8	1853.72
556.91	929.7	1865.3
557.01	929.6	1864.57
557.11	929.5	1818.8
557.21	929.4	1820.14
557.31	929.3	1831.25
557.41	929.2	1850.91
557.51	929.1	1852.6
557.61	929	1842.99
557.71	928.9	1834.28
557.81	928.8	1823.79
557.91	928.7	1839.42
558.01	928.6	1856.36
558.11	928.5	1806.68
558.21	928.4	1854.23
558.31	928.3	1811.44
