C:\Users\Mark\ownCloud\Muelheim Group\Projects\Gas phase background\EX320_CEC356_Cu in He.vms
Pr:Cu2p
	Characteristic Energy eV	1486.61	Acquisition Time s	0.3
KE_Pr:Cu2p	BE_Pr:Cu2p	CPS_Pr:Cu2p	Background_Pr:Cu2p
527.71	958.9	140432	140432
527.81	958.8	140981	140981
527.91	958.7	141348	141348
528.01	958.6	141178	141178
528.11	958.5	140899	140899
528.21	958.4	140517	140517
528.31	958.3	141474	141474
528.41	958.2	141973	141973
528.51	958.1	141719	141719
528.61	958	141775	141775
528.71	957.9	142853	142853
528.81	957.8	143183	143183
528.91	957.7	143677	143677
529.01	957.6	144165	144165
529.11	957.5	143524	143524
529.21	957.4	143775	143775
529.31	957.3	143941	143941
529.41	957.2	144485	144485
529.51	957.1	144302	144302
529.61	957	145177	145177
529.71	956.9	144627	144627
529.81	956.8	146018	146018
529.91	956.7	146960	146960
530.01	956.6	147074	147074
530.11	956.5	146910	146910
530.21	956.4	146385	146385
530.31	956.3	146851	146851
530.41	956.2	148323	148323
530.51	956.1	148380	148380
530.61	956	148951	148951
530.71	955.9	149870	149870
530.81	955.8	150668	150668
530.91	955.7	150613	150613
531.01	955.6	149893	149893
531.11	955.5	149171	149171
531.21	955.4	149049	149049
531.31	955.3	149237	149237
531.41	955.2	149222	149222
531.51	955.1	149250	149250
531.61	955	149653	149653
531.71	954.9	150913	150913
531.81	954.8	152242	152242
531.91	954.7	154433	154433
532.01	954.6	159168	159168
532.11	954.5	165097	165097
532.21	954.4	170970	170970
532.31	954.3	177960	177960
532.41	954.2	186102	186102
532.51	954.1	194636	194636
532.61	954	201670	201670
532.71	953.9	210310	210310
532.81	953.8	215131	215131
532.91	953.7	218115	218115
533.01	953.6	219564	219564
533.11	953.5	222625	222625
533.21	953.4	228091	228091
533.31	953.3	233661	233661
533.41	953.2	239934	239934
533.51	953.1	250060	250060
533.61	953	263151	263151
533.71	952.9	275497	275497
533.81	952.8	287806	287806
533.91	952.7	300361	300361
534.01	952.6	309934	309934
534.11	952.5	313999	313999
534.21	952.4	311191	311191
534.31	952.3	305565	305565
534.41	952.2	295356	295356
534.51	952.1	281268	281268
534.61	952	265456	265456
